"phase","gene","hr","lr","gap"
"Training (T2 - T1)","PRPSAP2",0.0600568901889318,-1.57376906211148,1.63382595230041
"Training (T2 - T1)","SYNCRIP",-0.72738331170612,-0.0221084194678696,0.70527489223825
"Training (T2 - T1)","PPM1B",-0.89535324880736,0.213011414683113,1.10836466349047
"Training (T2 - T1)","MFN2",0.508247486697844,-0.358083329159587,0.866330815857431
"Training (T2 - T1)","MLYCD",-1.11381958178943,0.0428653615971406,1.15668494338657
"Training (T2 - T1)","HLA-DRA",-0.588551085213812,1.1572037136914,1.74575479890521
"Training (T2 - T1)","RO60",-1.19758955021555,0.806219992697802,2.00380954291335
"Training (T2 - T1)","GAA",-0.367315151088558,0.737696657996931,1.10501180908549
"Training (T2 - T1)","LAMP1",-2.06186421230486,0.164879483857479,2.22674369616234
"Training (T2 - T1)","XRCC5",-0.435989556694256,0.490079563863212,0.926069120557468
"Training (T2 - T1)","MYH6",-1.92641814081381,0.0734941203746224,1.99991226118843
"Training (T2 - T1)","HNRNPL",-1.29120660989675,0.2560635401158,1.54727015001255
"Training (T2 - T1)","CTPS1",-0.894000852863364,0.7968071860602,1.69080803892356
"Training (T2 - T1)","TYMP",-1.05302784891321,0.589111018622166,1.64213886753538
"Training (T2 - T1)","CD9",1.1804030092252,-0.501229270816207,1.68163228004141
"Training (T2 - T1)","NMT1",-0.069405267328694,-1.23217907980278,1.16277381247409
"Training (T2 - T1)","AKT2",-0.266661795537193,0.925653735922388,1.19231553145958
"Training (T2 - T1)","MAPKAPK2",-0.514268274851222,0.262735048682913,0.777003323534135
"Training (T2 - T1)","HINT1",-0.579336158108912,0.161125580846182,0.740461738955094
"Training (T2 - T1)","CPT1A",0.816629866698388,-0.537956350891399,1.35458621758979
"Training (T2 - T1)","COPA",1.1422136885604,-0.504710136377295,1.6469238249377
"Training (T2 - T1)","ROMO1",-0.702176075279464,0.377517274551838,1.0796933498313
"Training (T2 - T1)","RAP2B",-1.71281671254368,0.136410385081916,1.8492270976256
"Training (T2 - T1)","RPL32",-1.79794536992598,-0.0953148380677717,1.70263053185821
"Training (T2 - T1)","DYNLT1",1.19660956099244,-0.111860009315205,1.30846957030764
"Training (T2 - T1)","PURA",-1.51098748604409,-0.0441174993650009,1.46686998667909
"Training (T2 - T1)","LMAN2",1.30868294529781,-0.186703095326081,1.49538604062389
"Training (T2 - T1)","DHCR24",-1.8452764736061,-0.442029503093838,1.40324697051226
"Training (T2 - T1)","HNRNPUL2",-0.890893887667529,0.416542870927385,1.30743675859491
"Training (T2 - T1)","DCAF8",-1.31931539572824,-5.21024077405596,3.89092537832772
"Training (T2 - T1)","MLIP",-0.720976835712943,0.567261777846728,1.28823861355967
"Training (T2 - T1)","ACAD10",1.11944568469909,-0.275904138826622,1.39534982352571
"Training (T2 - T1)","CORO6",-1.38258078919398,0.54465373338504,1.92723452257902
"Training (T2 - T1)","KYAT3",0.645844724314488,-0.670586743051091,1.31643146736558
"Training (T2 - T1)","SND1",-1.44882303234497,0.336955919325824,1.78577895167079
"Training (T2 - T1)","COMTD1",-0.15569840669772,-1.62789787205735,1.47219946535963
"Training (T2 - T1)","PDPR",0.782950712459108,-0.264815528726363,1.04776624118547
"Training (T2 - T1)","RTN4IP1",1.20096895220412,-0.429297804384792,1.63026675658891
"Training (T2 - T1)","SYNE2",-2.53825911809508,-0.617729251367887,1.92052986672719
