"comparison","p_raw","p_bh","cliffs_d"
"HR_T1 vs HR_T2",0,0,0.225006015661828
"HR_T2 vs HR_T3",1.64307886566245e-34,2.30031041192743e-34,-0.230439389568631
"LR_T1 vs LR_T2",9.1607791795303e-06,1.0687575709452e-05,-0.0834368777659732
"LR_T2 vs LR_T3",0,0,0.250216634184438
"HR_T1 vs LR_T1",7.35413202097579e-05,7.35413202097579e-05,0.0745674703966115
"HR_T2 vs LR_T2",3.2739811807783e-37,5.72946706636203e-37,-0.239737984507032
"HR_T3 vs LR_T3",0,0,0.24075734016281
