"PC1","PC2","Group","phase"
-26.4254751684995,21.2383225027239,"HR","Training (T2 - T1)"
2.23399573012199,-1.55704589510837,"HR","Training (T2 - T1)"
-4.32574397323299,-6.65237495352765,"HR","Training (T2 - T1)"
-25.5048534906415,5.32613195020716,"HR","Training (T2 - T1)"
19.0047828809784,-9.09106063917243,"HR","Training (T2 - T1)"
7.2088591167864,-1.17483255716194,"HR","Training (T2 - T1)"
-5.82782761572758,-28.5464296821911,"LR","Training (T2 - T1)"
13.5134611308777,-1.99143934933049,"LR","Training (T2 - T1)"
11.3494609780508,-3.27200467872951,"LR","Training (T2 - T1)"
3.43060652332782,5.15719816542092,"LR","Training (T2 - T1)"
26.1197284162653,25.4581449895181,"LR","Training (T2 - T1)"
3.99573507336655,0.463723646687339,"LR","Training (T2 - T1)"
-12.4354689721273,-0.92262921041022,"LR","Training (T2 - T1)"
-12.3372606295461,-4.43570428892575,"LR","Training (T2 - T1)"
-2.41229154043913,11.3714870359704,"HR","Acute (T3 - T2)"
-2.01307233710132,17.1363025035509,"HR","Acute (T3 - T2)"
0.0403616400576667,-3.81230942652937,"HR","Acute (T3 - T2)"
-7.8768818718063,-5.34911714484287,"HR","Acute (T3 - T2)"
-25.2551221440017,30.3110036372017,"HR","Acute (T3 - T2)"
1.93270113210597,-6.76577990330995,"HR","Acute (T3 - T2)"
0.749725521844062,-12.5331883994446,"HR","Acute (T3 - T2)"
-21.6505514590704,-21.3271982735038,"LR","Acute (T3 - T2)"
8.7823503507326,-0.700827487288799,"LR","Acute (T3 - T2)"
3.11140299628646,-0.718475751850085,"LR","Acute (T3 - T2)"
13.0119426258555,2.57507051622596,"LR","Acute (T3 - T2)"
20.006088794646,0.161205136177734,"LR","Acute (T3 - T2)"
27.8172074133864,6.3782152811895,"LR","Acute (T3 - T2)"
-5.97468008946241,-7.29984053213847,"LR","Acute (T3 - T2)"
-10.2691810330336,-9.4265471914083,"LR","Acute (T3 - T2)"
