phase,n,rho,same_dir,n_interaction,rho_lo,rho_hi,med_abs_HR,med_abs_LR,p90_abs_HR,p90_abs_LR
Training,1863,0.1931295526452714,0.5840042941492217,55,0.1486098181835714,0.23686801309968875,0.203271716019216,0.147577387706697,0.5907610122415048,0.45313855813988657
Acute,1864,0.128479410294022,0.5402360515021459,75,0.08337893080844265,0.17305463867433024,0.222965785775301,0.1649478051570165,0.6229565537927214,0.5187130845018455
