uniprot_id,gene,description,verdict,reason,contaminant,in_rbc,secretome,blood_conc,ery,myo,blood_cor
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0,0,NA
A0A087WW87,IGKV2-40,Immunoglobulin kappa variable 2-40,remove: immunoglobulin,remove: immunoglobulin,TRUE,TRUE,Immunoglobulin genes,NA,0,0,0.6857359965262702
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,remove: immunoglobulin,remove: immunoglobulin,TRUE,TRUE,Immunoglobulin genes,NA,0,0,0.3926585094549499
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,remove: immunoglobulin,remove: immunoglobulin,TRUE,TRUE,Immunoglobulin genes,NA,0,0,0.7520814061054578
A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43,remove: immunoglobulin,remove: immunoglobulin,TRUE,TRUE,Immunoglobulin genes,NA,0,0,NA
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,remove: immunoglobulin,remove: immunoglobulin,TRUE,TRUE,Immunoglobulin genes,NA,0,0,0.727554615926709
A0A0B4J2D5,GATD3B,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",keep,keep,FALSE,FALSE,NA,NA,NA,NA,-0.05026052974381242
A0A0B4J2D9,IGKV1D-13,Immunoglobulin kappa variable 1D-13,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0,0,NA
A0A0B4J2H0,IGHV1-69D,Immunoglobulin heavy variable 1-69D,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0.2,0,NA
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0.2,0,0.627767354596623
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,remove: immunoglobulin,remove: immunoglobulin,TRUE,TRUE,Immunoglobulin genes,NA,1.5,0,0.31682146542827655
A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0,0,0.5112781954887218
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0,0,0.26976284584980237
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0,0,0.5040106951871658
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,remove: immunoglobulin,remove: immunoglobulin,TRUE,FALSE,Immunoglobulin genes,NA,0,0,0.48441558441558435
A0FGR8,ESYT2,Extended synaptotagmin-2,keep,keep,FALSE,TRUE,NA,6300,5.8,296,0.2234782608695652
A1L0T0,ILVBL,Acetolactate synthase-like protein,keep,keep,FALSE,TRUE,NA,NA,0.2,5.3,0.2573529411764706
A5A3E0,POTEF,POTE ankyrin domain family member F,keep,keep,FALSE,TRUE,NA,1300000000,0,0,0.08366271409749669
A5D6W6,FITM1,Fat storage-inducing transmembrane protein 1,keep,keep,FALSE,FALSE,NA,NA,0,0,-0.2586898395721925
A5YM72,CARNS1,Carnosine synthase 1,keep,keep,FALSE,FALSE,NA,NA,0,38.6,-0.09556025369978859
A6NCE7,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,keep,keep,FALSE,TRUE,NA,NA,3.7,0.8,0.21198945981554676
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,keep,keep,FALSE,TRUE,NA,260000,10.8,67,0.030829353017802867
A6NNS2,DHRS7C,Dehydrogenase/reductase SDR family member 7C,keep,keep,FALSE,FALSE,Secreted in other tissues,NA,0,22.4,-0.06882327399044724
A8MU46,SMTNL1,Smoothelin-like protein 1,keep,keep,FALSE,FALSE,NA,NA,0,109.1,-0.05087881591119334
A8MXV4,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,keep,keep,FALSE,FALSE,NA,9700,0.2,40.4,-0.028571428571428564
B9A064,IGLL5,Immunoglobulin lambda-like polypeptide 5,remove: plasma,remove: plasma,TRUE,TRUE,Secreted to blood,22000000000,2.3,0,0.4792490118577075
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",keep,keep,FALSE,TRUE,NA,1600000,212,19.8,-0.13970907511940947
L0R6Q1,SLC35A4,SLC35A4 upstream open reading frame protein,keep,keep,FALSE,TRUE,NA,NA,0.1,4.1,-0.1987903225806452
O00151,PDLIM1,PDZ and LIM domain protein 1,keep,keep,FALSE,TRUE,NA,85000000,5.2,121.7,0.049609205384281374
O00159,MYO1C,Unconventional myosin-Ic,keep,keep,FALSE,TRUE,NA,72000,1.8,18.5,-0.1295125164690382
O00168,FXYD1,Phospholemman,keep,keep,FALSE,FALSE,NA,54000,0,4.7,-0.2844155844155844
O00186,STXBP3,Syntaxin-binding protein 3,keep,keep,FALSE,TRUE,NA,10000,15.6,44.9,0.06704922983992752
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",keep,keep,FALSE,FALSE,NA,NA,20.3,45,-0.2215541165587419
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,keep,keep,FALSE,TRUE,NA,160000,11.9,123.2,0.026595744680851064
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,keep,keep,FALSE,TRUE,NA,88000,10.5,85.2,0.06128584643848289
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,keep,keep,FALSE,TRUE,NA,870000,6.3,0.2,0.4227567067530065
O00244,ATOX1,Copper transport protein ATOX1,keep,keep,FALSE,TRUE,NA,390000,6.1,8.8,NA
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,keep,keep,FALSE,TRUE,Secreted - unknown location,530000,3.1,1.6,0.3071230342275671
O00299,CLIC1,Chloride intracellular channel protein 1,keep,keep,FALSE,TRUE,NA,40000000,2,0,0.3630725863284003
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,keep,keep,FALSE,TRUE,NA,120000,14.9,28.2,-0.1612648221343873
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",keep,keep,FALSE,FALSE,NA,NA,0.7,141.4,-0.12679114198871036
O00410,IPO5,Importin-5,keep,keep,FALSE,TRUE,NA,770000,5,47.6,0.19376899696048633
O00418,EEF2K,Eukaryotic elongation factor 2 kinase,keep,keep,FALSE,FALSE,NA,NA,0,3.7,NA
O00423,EML1,Echinoderm microtubule-associated protein-like 1,keep,keep,FALSE,FALSE,NA,NA,0,102.2,0.03928461301264261
O00429,DNM1L,Dynamin-1-like protein,keep,keep,FALSE,TRUE,NA,2500000,6.9,220.3,-0.06972710453283996
O00442,RTCA,RNA 3'-terminal phosphate cyclase,keep,keep,FALSE,TRUE,NA,18000,3.7,43.8,-0.05753365175857577
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,keep,keep,FALSE,TRUE,NA,14000,27.1,46.7,-0.10562310030395138
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,keep,keep,FALSE,TRUE,NA,110000,17,97.6,0.15306122448979592
O00499,BIN1,Myc box-dependent-interacting protein 1,keep,keep,FALSE,FALSE,NA,810000,0.4,181.9,0.14177160225792446
O00505,KPNA3,Importin subunit alpha-4,keep,keep,FALSE,TRUE,NA,15000,7.1,278.7,0.08522201665124883
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,keep,keep,FALSE,TRUE,NA,120000,66.1,56.9,0.01977335800185014
O00629,KPNA4,Importin subunit alpha-3,keep,keep,FALSE,TRUE,NA,87000,14.7,138.1,-0.12874511506730352
O00748,CES2,Cocaine esterase,keep,keep,FALSE,FALSE,Intracellular and membrane,3800000,0,13.1,-0.2721304300251668
O00757,FBP2,"Fructose-1,6-bisphosphatase isozyme 2",keep,keep,FALSE,FALSE,NA,1900000,0,87.7,0.05275727312201477
O00763,ACACB,Acetyl-CoA carboxylase 2,keep,keep,FALSE,TRUE,Intracellular and membrane,NA,0.4,658.6,NA
O00764,PDXK,Pyridoxal kinase,keep,keep,FALSE,TRUE,NA,490000,0.9,20.6,0.03689064558629775
O14521,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",keep,keep,FALSE,TRUE,NA,NA,0.2,0.6,0.04902867715078631
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",keep,keep,FALSE,TRUE,NA,NA,24.7,26.7,NA
O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",keep,keep,FALSE,TRUE,NA,NA,0,4.6,0.06360910785187586
O14558,HSPB6,Heat shock protein beta-6,keep,keep,FALSE,FALSE,Intracellular and membrane,380000,0,27.6,-0.08554059921841077
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial",keep,keep,FALSE,TRUE,NA,26000,21.6,59.3,-0.19941380807642206
O14579,COPE,Coatomer subunit epsilon,keep,keep,FALSE,TRUE,NA,82000,34.4,3.9,NA
O14618,CCS,Copper chaperone for superoxide dismutase,keep: rescued (muscle-expressed),keep: rescued (muscle-expressed),FALSE,TRUE,NA,660000,60.3,38.8,0.6553846153846153
O14653,GOSR2,Golgi SNAP receptor complex member 2,keep,keep,FALSE,TRUE,NA,NA,0,0.2,0.023790322580645163
O14732,IMPA2,Inositol monophosphatase 2,keep,keep,FALSE,FALSE,NA,NA,0.3,80,0.05557967867998263
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,keep,keep,FALSE,TRUE,NA,NA,8.6,4.9,NA
