gene,logFC,neg_log10_p,pi_score,adj_pval,direction
LTF,5.0514,1.6494,0,0.389312,Up
S100A8,3.8117,6.2069,0,0.0012,Up
S100A9,3.677,4.9922,0,0.009841,Up
ILF3,1.4417,4.1123,1e-6,0.037314,Up
LYZ,2.5184,2.13,4e-6,0.323342,Up
GPC1,2.1538,2.2959,1.1e-5,0.323342,Up
PM20D2,1.6058,3.0665,1.2e-5,0.236913,Up
RRAD,1.8427,2.5136,2.3e-5,0.292548,Up
HNRNPUL2,1.5831,2.5528,9.1e-5,0.288738,Up
RO60,2.3764,1.6773,1.03e-4,0.389312,Up
SAA4,1.6595,2.3469,1.27e-4,0.299887,Up
MAP1LC3B2,0.9211,4.114,1.62e-4,0.037314,Up
OSTF1,2.2854,1.6519,1.68e-4,0.389312,Up
TPRKB,-1.5914,2.2298,2.83e-4,0.323342,Down
SYNE2,1.9662,1.7868,3.07e-4,0.374816,Up
ARHGAP1,1.2134,2.7815,4.22e-4,0.288738,Up
TPPP3,1.746,1.7764,7.92e-4,0.375308,Up
PTPN1,1.3733,2.0384,0.001587,0.323342,Up
NUBP2,1.4337,1.9436,0.001634,0.325346,Up
HLA-C,-1.7528,1.5565,0.00187,0.393958,Down
SYNCRIP,0.7269,3.7226,0.001968,0.073225,Up
FERMT3,2.1293,1.2347,0.002349,0.477541,Up
HNRNPA3,1.1252,2.1919,0.003417,0.323342,Up
HNRNPR,0.7332,3.3069,0.003763,0.158919,Up
CD81,-1.0713,2.2491,0.003894,0.323342,Down
MYO18A,0.9746,2.4498,0.004097,0.298304,Up
ARL1,1.3999,1.7031,0.00413,0.380145,Up
TMEM167A,1.0805,2.1957,0.004242,0.323342,Up
RPS20,0.852,2.7114,0.004897,0.288738,Up
CHCHD10,-1.1019,2.074,0.005184,0.323342,Down
PHKG1,-0.9257,2.4616,0.005263,0.298304,Down
RPA2,0.9191,2.4043,0.006168,0.299887,Up
FSCN1,1.0717,2.0521,0.006319,0.323342,Up
NCL,0.7317,2.9363,0.007102,0.279804,Up
ARHGDIB,1.4705,1.4427,0.00756,0.416039,Up
PNPT1,-0.8637,2.3936,0.008566,0.299887,Down
HMGB2,1.2382,1.6615,0.008763,0.389312,Up
APMAP,0.9341,2.1944,0.008916,0.323342,Up
FN1,1.0417,1.9657,0.008962,0.323342,Up
TPSB2,-0.9774,2.0816,0.009236,0.323342,Down
FTL,1.2922,1.5442,0.010107,0.393958,Up
PPP2R5D,1.2225,1.6137,0.010648,0.39085,Up
MLEC,-0.7606,2.5622,0.01125,0.288738,Down
DHCR24,1.2721,1.4923,0.012639,0.396353,Up
HMGCL,-0.7237,2.6011,0.013108,0.288738,Down
CACNG1,-0.8681,2.1422,0.013819,0.323342,Down
PADI2,0.7014,2.6365,0.014147,0.288738,Up
POFUT1,-1.4219,1.2819,0.01504,0.468066,Down
DNAJB4,0.9125,1.9737,0.015809,0.323342,Up
MAP2K6,-0.6595,2.6944,0.016718,0.288738,Down
DUSP28,-0.8999,1.9656,0.017029,0.323342,Down
NLN,1.7262,0.9887,0.019649,0.568134,Up
ATPAF2,-0.8046,2.1199,0.019695,0.323342,Down
S100A13,1.0697,1.5873,0.020044,0.39194,Up
ARPC2,0.9065,1.8727,0.020062,0.350162,Up
RPL7A,0.8749,1.9356,0.020255,0.325346,Up
RPL12,0.8501,1.9632,0.021435,0.323342,Up
RPLP1,0.8925,1.863,0.021736,0.352133,Up
RPL7,0.7834,2.1015,0.022575,0.323342,Up
PLIN4,-0.6436,2.547,0.022944,0.288738,Down
UBA3,-0.6326,2.5669,0.023784,0.288738,Down
ACAD10,-0.9212,1.7556,0.024136,0.375308,Down
KRT10,-1.1704,1.3485,0.026408,0.451937,Down
H2BC4,1.0296,1.5313,0.026504,0.393958,Up
ALPK3,1.0041,1.5575,0.027293,0.393958,Up
PDLIM3,0.6601,2.3513,0.028047,0.299887,Up
EPM2A,-0.8602,1.7934,0.028657,0.37476,Down
RPLP2,0.7031,2.1926,0.028727,0.323342,Up
MAPRE1,0.6436,2.3637,0.030114,0.299887,Up
SMIM4,-0.8793,1.7232,0.030538,0.379213,Down
PHKB,-0.7024,2.155,0.030649,0.323342,Down
RCSD1,-0.6313,2.3895,0.031013,0.299887,Down
FARSA,0.9048,1.665,0.031156,0.389312,Up
FXYD1,1.1234,1.3316,0.031913,0.459543,Up
FBP2,-0.6403,2.2797,0.034695,0.323342,Down
LRRC20,-0.672,2.1664,0.035005,0.323342,Down
COX19,-0.7319,1.9718,0.036043,0.323342,Down
MYLK2,-0.7416,1.9222,0.037541,0.330326,Down
CD63,1.0079,1.4123000000000001,0.037711,0.430418,Up
ACSS2,-0.8595,1.6311,0.039629,0.389789,Down
CALU,-0.5201,2.6945,0.039692,0.288738,Down
COQ3,-0.6822,2.0514,0.039869,0.323342,Down
ANXA1,0.9872,1.4016,0.041331,0.430715,Up
RTN3,0.7426,1.8299,0.043765,0.358877,Up
BOLA2,0.7943,1.702,0.044478,0.380145,Up
SRSF2,0.7276,1.8496,0.045104,0.352133,Up
ACSF2,-0.6838,1.9575,0.045867,0.323342,Down
DCAF8,1.6414,0.8137,0.046178,0.614643,Up
RPL6,0.7866,1.6933,0.046568,0.382104,Up
NAGK,0.7315,1.7957,0.048583,0.37476,Up
IFITM1,1.2959,1.0105,0.049022,0.568134,Up
ECHDC2,0.8634,1.5089,0.049787,0.393958,Up
GMPPB,-0.8505,1.5249,0.050481,0.393958,NS
CSNK2B,0.8529,1.5206,0.050482,0.393958,NS
