gene,logFC,neg_log10_p,pi_score,adj_pval,direction
ATP2A1,-0.3545,1.6226,0.265955,0.998942,NS
RAB8A,0.6229,0.923,0.266099,0.998942,NS
CLTB,-0.5394,1.0611,0.267685,0.998942,NS
ARPC5L,0.4755,1.2024,0.268082,0.998942,NS
IARS1,0.4116,1.3737,0.272021,0.998942,NS
MLIP,0.5637,0.9936,0.275354,0.998942,NS
SEPTIN6,-0.9071,0.6165,0.275883,0.998942,NS
OSBPL1A,-0.574,0.9607,0.280875,0.998942,NS
CPT1A,-0.5352,1.0261,0.282347,0.998942,NS
XRCC5,0.4911,1.1119,0.284431,0.998942,NS
SARS2,0.5856,0.9265,0.286697,0.998942,NS
GLUD1,0.3428,1.5421,0.296025,0.998942,NS
TWF2,-0.4288,1.2304,0.296777,0.998942,NS
GBE1,0.4614,1.1425,0.297083,0.998942,NS
STAT5B,-0.4498,1.1519,0.303279,0.998942,NS
DCUN1D1,-0.5398,0.9489,0.307444,0.998942,NS
PIP4K2B,-0.4205,1.2134,0.308882,0.998942,NS
ATP2B4,-0.4504,1.1319,0.30919,0.998942,NS
RAP1A,0.526,0.9639,0.311126,0.998942,NS
RO60,0.7947,0.6363,0.312092,0.998942,NS
ACAD9,-0.4757,1.059,0.313488,0.998942,NS
SH3BGRL3,0.6228,0.8089,0.313497,0.998942,NS
TXNRD2,-0.5276,0.9456,0.31706,0.998942,NS
TSG101,-0.4289,1.1622,0.3173,0.998942,NS
SEPTIN9,0.5871,0.8483,0.317629,0.998942,NS
ZBTB9,-0.5014,0.993,0.317741,0.998942,NS
ARF4,0.393,1.2622,0.319081,0.998942,NS
TARS1,0.4971,0.992,0.321287,0.998942,NS
CAT,-0.5585,0.8805,0.3223,0.998942,NS
SLC37A4,-0.4637,1.0579,0.323187,0.998942,NS
HNRNPA3,-0.5418,0.9046,0.323539,0.998942,NS
TSN,-0.4468,1.0912,0.325458,0.998942,NS
ATP5PO,0.292,1.6687,0.325622,0.998942,NS
UBE2D1,-0.4494,1.0841,0.325673,0.998942,NS
PSMD6,-0.4147,1.1743,0.325857,0.998942,NS
DTNA,0.3992,1.2163,0.326933,0.998942,NS
DHRS7B,-0.4394,1.1045,0.327122,0.998942,NS
BPGM,-0.5748,0.8437,0.327334,0.998942,NS
COBL,0.4659,1.0355,0.329278,0.998942,NS
