pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,-0.882,-1.057,0.8907,0.8437,NS,36
GOBP_XENOBIOTIC_METABOLIC_PROCESS,Xenobiotic Metabolic Process,GO:BP,-0.748,-1.191,0.9385,0.7768,NS,17
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.134,-0.805,0.6256,0.9961,NS,99
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT,Regulation Of Actin Filament Based Movement,GO:BP,0.949,-0.989,0.8178,0.8957,NS,12
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,0.979,0.959,0.814,0.9244,NS,120
GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS,Cellular Response To Abiotic Stimulus,GO:BP,-0.851,-1.086,0.912,0.839,NS,51
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,0.606,1.331,0.9889,0.5937,NS,34
GOBP_FERTILIZATION,Fertilization,GO:BP,1.141,-0.795,0.6741,0.9789,NS,22
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,Regulation Of Peptide Transport,GO:BP,-1.112,-0.824,0.7054,0.9733,NS,29
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,Regulation Of Vasculature Development,GO:BP,-1.069,0.866,0.7335,0.9601,NS,37
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,Leukocyte Mediated Immunity,GO:BP,-0.921,-1.014,0.8699,0.8785,NS,50
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,0.858,-1.077,0.9011,0.843,NS,33
GOBP_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT,Regulation Of D Glucose Transmembrane Tran...,GO:BP,0.926,1.008,0.8323,0.8851,NS,12
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT,Endothelial Cell Development,GO:BP,-0.975,-0.958,0.8051,0.9237,NS,13
GOBP_ENDOTHELIAL_CELL_DIFFERENTIATION,Endothelial Cell Differentiation,GO:BP,-0.975,-0.958,0.8051,0.9237,NS,13
GOBP_NON_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,Non Proteinogenic Amino Acid Metabolic Pro...,GO:BP,0.699,-1.232,0.9495,0.7576,NS,14
GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS,Cytoskeleton Dependent Cytokinesis,GO:BP,-0.647,1.284,0.9781,0.6665,NS,28
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Apoptotic Signaling...,GO:BP,0.976,0.953,0.8121,0.9237,NS,46
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION,Cardiac Muscle Cell Action Potential Invol...,GO:BP,-1.091,0.837,0.7335,0.9601,NS,11
GOBP_REGULATION_OF_PROTEIN_STABILITY,Regulation Of Protein Stability,GO:BP,-0.946,0.982,0.8462,0.9176,NS,81
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Regulation Of Protein Localization To Plas...,GO:BP,-0.72,1.208,0.9543,0.7406,NS,27
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,Response To Reactive Oxygen Species,GO:BP,-0.914,-1.013,0.8699,0.883,NS,48
GOBP_POSITIVE_REGULATION_OF_CELL_DIVISION,Positive Regulation Of Cell Division,GO:BP,0.685,1.242,0.9495,0.7627,NS,10
GOBP_ACTIN_NUCLEATION,Actin Nucleation,GO:BP,0.417,1.51,0.9996,0.5141,NS,11
GOBP_ACTION_POTENTIAL,Action Potential,GO:BP,-1.033,-0.893,0.7754,0.948,NS,26
