pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_PROTEIN_REFOLDING,Protein Refolding,GO:BP,-0.585,1.267,0.9853,0.7254,NS,15
GOBP_REGULATION_OF_KETONE_METABOLIC_PROCESS,Regulation Of Ketone Metabolic Process,GO:BP,-1.004,-0.846,0.785,0.9601,NS,24
GOBP_PHAGOCYTOSIS,Phagocytosis,GO:BP,-0.778,1.072,0.9385,0.843,NS,29
GOBP_RESPONSE_TO_OSMOTIC_STRESS,Response To Osmotic Stress,GO:BP,1.02,-0.829,0.7794,0.9658,NS,19
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,Response To Transforming Growth Factor Beta,GO:BP,0.913,0.935,0.8621,0.926,NS,31
GOBP_REGULATION_OF_DENDRITE_DEVELOPMENT,Regulation Of Dendrite Development,GO:BP,1.14,0.707,0.6944,0.9907,NS,11
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,Positive Regulation Of Tumor Necrosis Fact...,GO:BP,-1.188,0.658,0.6354,0.9961,NS,12
GOBP_NEUROTRANSMITTER_SECRETION,Neurotransmitter Secretion,GO:BP,-0.77,-1.076,0.9277,0.8431,NS,13
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,Receptor Mediated Endocytosis,GO:BP,-0.773,-1.072,0.9494,0.843,NS,40
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,Biological Process Involved In Interaction...,GO:BP,-0.991,-0.854,0.7964,0.9658,NS,38
GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS,Positive Regulation Of Endocytosis,GO:BP,-1.023,0.822,0.7762,0.9733,NS,27
GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM,Disruption Of Anatomical Structure In Anot...,GO:BP,-1.257,-0.587,0.5829,0.9993,NS,12
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,Regulation Of T Cell Mediated Immunity,GO:BP,-0.996,0.848,0.7929,0.9581,NS,14
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,Cardiac Muscle Cell Contraction,GO:BP,0.896,0.945,0.8699,0.9237,NS,20
GOBP_NEUROTRANSMITTER_TRANSPORT,Neurotransmitter Transport,GO:BP,-0.711,-1.13,0.9495,0.8324,NS,17
GOBP_NEURAL_NUCLEUS_DEVELOPMENT,Neural Nucleus Development,GO:BP,-0.854,0.985,0.8974,0.8998,NS,22
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT,Substantia Nigra Development,GO:BP,-0.854,0.985,0.8974,0.8998,NS,22
GOBP_MACROAUTOPHAGY,Macroautophagy,GO:BP,-0.945,-0.893,0.8487,0.9601,NS,82
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Regulation Of Carbohydrate Biosynthetic Pr...,GO:BP,0.766,1.072,0.9309,0.8472,NS,18
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Regulation Of Actin Filament Polymerization,GO:BP,-1.054,0.783,0.7545,0.9826,NS,24
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,-1.084,-0.753,0.7213,0.9961,NS,32
GOBP_REGULATION_OF_VIRAL_PROCESS,Regulation Of Viral Process,GO:BP,-0.973,-0.864,0.8121,0.9581,NS,20
GOBP_AMIDE_METABOLIC_PROCESS,Amide Metabolic Process,GO:BP,-0.975,-0.862,0.814,0.9789,NS,98
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,Regulation Of Autophagy Of Mitochondrion,GO:BP,-0.912,-0.924,0.8561,0.926,NS,14
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,Negative Regulation Of Carbohydrate Metabo...,GO:BP,0.929,-0.906,0.8339,0.926,NS,13
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION,Negative Regulation Of Cell Cell Adhesion,GO:BP,-0.915,-0.919,0.8514,0.926,NS,16
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Glycerophospholipid Biosynthetic Process,GO:BP,-0.77,-1.063,0.9283,0.854,NS,14
GOBP_TAXIS,Taxis,GO:BP,-0.815,1.017,0.9259,0.8766,NS,38
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,Phenol Containing Compound Metabolic Process,GO:BP,-1.008,0.823,0.785,0.9601,NS,12
GOBP_OSTEOCLAST_DIFFERENTIATION,Osteoclast Differentiation,GO:BP,-0.993,-0.838,0.7929,0.9589,NS,10
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,Sulfur Compound Biosynthetic Process,GO:BP,0.935,-0.896,0.8458,0.9524,NS,39
GOBP_REGULATION_OF_CELLULAR_RESPIRATION,Regulation Of Cellular Respiration,GO:BP,0.764,1.066,0.9259,0.8515,NS,14
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-0.936,0.894,0.8323,0.9461,NS,21
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,Negative Regulation Of Locomotion,GO:BP,0.815,1.013,0.9259,0.8775,NS,40
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,Negative Regulation Of Organelle Organization,GO:BP,0.779,-1.049,0.9495,0.8467,NS,61
GOBP_VIRAL_GENE_EXPRESSION,Viral Gene Expression,GO:BP,0.876,-0.951,0.8854,0.9237,NS,20
GOBP_AMINO_ACID_TRANSPORT,Amino Acid Transport,GO:BP,-0.702,-1.125,0.9495,0.8423,NS,11
GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION,Regulation Of Membrane Depolarization,GO:BP,-1.239,-0.587,0.5931,0.9993,NS,14
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Positive Regulation Of Nucleotide Metaboli...,GO:BP,-0.761,-1.064,0.9259,0.854,NS,10
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,Antimicrobial Humoral Response,GO:BP,-1.075,-0.75,0.7335,0.9883,NS,22
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS,Regulation Of DNA Metabolic Process,GO:BP,-1.199,0.625,0.5798,0.9993,NS,53
GOBP_MITOTIC_CYTOKINESIS,Mitotic Cytokinesis,GO:BP,-0.97,0.853,0.8121,0.9581,NS,19
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,Positive Regulation Of Translation,GO:BP,0.958,0.864,0.8178,0.9601,NS,31
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,Regulation Of Signal Transduction By p53 C...,GO:BP,1.232,0.589,0.6125,0.9993,NS,17
GOBP_OSTEOBLAST_DIFFERENTIATION,Osteoblast Differentiation,GO:BP,-1.013,0.808,0.7802,0.9783,NS,30
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,Glycerolipid Biosynthetic Process,GO:BP,-0.846,-0.972,0.8974,0.9206,NS,18
GOBP_RELAXATION_OF_MUSCLE,Relaxation Of Muscle,GO:BP,0.753,-1.064,0.9299,0.854,NS,14
GOBP_FIBROBLAST_MIGRATION,Fibroblast Migration,GO:BP,-0.682,1.135,0.9543,0.8367,NS,13
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,Cellular Process Involved In Reproduction ...,GO:BP,1.048,0.768,0.7631,0.9864,NS,24
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,-1.079,0.737,0.7335,0.9961,NS,29
GOBP_DENDRITIC_SPINE_DEVELOPMENT,Dendritic Spine Development,GO:BP,0.672,1.143,0.9543,0.8324,NS,11
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Actomyosin Structure Organization,GO:BP,-1.155,0.658,0.6256,0.9993,NS,65
GOBP_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS,Regulation Of Steroid Biosynthetic Process,GO:BP,-1.035,-0.778,0.776,0.9783,NS,13
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Reactive Oxygen Species Metabolic Process,GO:BP,-0.768,-1.045,0.9543,0.8472,NS,58
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,Positive Regulation Of Leukocyte Cell Cell...,GO:BP,-1.108,-0.702,0.7154,0.9962,NS,26
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,Regulation Of Sodium Ion Transport,GO:BP,-0.81,-0.999,0.912,0.8859,NS,18
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,Cardiac Muscle Cell Differentiation,GO:BP,-0.788,1.021,0.9259,0.8766,NS,23
GOBP_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,Striated Muscle Cell Apoptotic Process,GO:BP,0.994,0.813,0.7881,0.9601,NS,10
GOBP_ORGANELLE_FUSION,Organelle Fusion,GO:BP,0.751,-1.055,0.9495,0.8474,NS,32
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Regulation Of Post Translational Protein M...,GO:BP,-1.209,-0.596,0.5719,0.9994,NS,58
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Natural Killer Cell Mediated Immunity,GO:BP,-1.18,0.622,0.6415,0.9993,NS,13
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Positive Regulation Of Leukocyte Prolifera...,GO:BP,0.708,-1.094,0.9494,0.8431,NS,15
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT,Organic Acid Transmembrane Transport,GO:BP,1.047,0.754,0.7604,0.9864,NS,21
GOBP_TRNA_PROCESSING,Trna Processing,GO:BP,-1.155,0.645,0.6741,0.9993,NS,13
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,Cardiac Muscle Cell Action Potential,GO:BP,-0.997,-0.803,0.7892,0.9766,NS,20
GOBP_POSITIVE_REGULATION_OF_EXOCYTOSIS,Positive Regulation Of Exocytosis,GO:BP,-0.892,-0.908,0.8699,0.926,NS,15
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS,Icosanoid Biosynthetic Process,GO:BP,1.037,-0.763,0.7754,0.9789,NS,10
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyridine Containing Compound Metabolic Pro...,GO:BP,0.961,0.838,0.8252,0.9789,NS,72
GOBP_STEROL_TRANSPORT,Sterol Transport,GO:BP,0.734,-1.065,0.9479,0.8431,NS,19
GOBP_PLACENTA_DEVELOPMENT,Placenta Development,GO:BP,-1.249,0.548,0.5819,0.9993,NS,14
GOBP_MYOTUBE_CELL_DEVELOPMENT,Myotube Cell Development,GO:BP,-0.535,-1.262,0.9917,0.7245,NS,15
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,Negative Regulation Of Response To Externa...,GO:BP,-0.977,-0.819,0.8051,0.9789,NS,40
GOBP_RNA_EXPORT_FROM_NUCLEUS,RNA Export From Nucleus,GO:BP,-0.696,1.099,0.9495,0.843,NS,10
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL,Regulation Of Mitochondrial Membrane Poten...,GO:BP,-1.124,0.67,0.6839,0.9993,NS,22
GOBP_T_CELL_MEDIATED_IMMUNITY,T Cell Mediated Immunity,GO:BP,-0.99,0.804,0.7953,0.9665,NS,15
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,1.224,0.57,0.6256,0.9993,NS,12
GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR,Response To Leukemia Inhibitory Factor,GO:BP,-0.932,0.861,0.8323,0.9535,NS,15
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteasomal Ubiquit...,GO:BP,-0.629,-1.162,0.9781,0.7901,NS,19
GOBP_REGULATION_OF_BINDING,Regulation Of Binding,GO:BP,-0.693,-1.097,0.9634,0.843,NS,23
GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Positive Regulation Of Mrna Catabolic Process,GO:BP,-0.846,0.943,0.8974,0.9237,NS,13
GOBP_CELLULAR_RESPONSE_TO_METAL_ION,Cellular Response To Metal Ion,GO:BP,-0.845,-0.944,0.912,0.9244,NS,33
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Regulation Of Reactive Oxygen Species Meta...,GO:BP,-0.883,0.904,0.8902,0.9461,NS,36
GOBP_CYTOKINESIS,Cytokinesis,GO:BP,-0.741,1.046,0.9543,0.854,NS,36
GOBP_MONOATOMIC_ANION_TRANSPORT,Monoatomic Anion Transport,GO:BP,0.959,-0.827,0.814,0.9601,NS,15
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,Alpha Amino Acid Biosynthetic Process,GO:BP,0.856,0.93,0.8891,0.9245,NS,12
GOBP_MULTIVESICULAR_BODY_ORGANIZATION,Multivesicular Body Organization,GO:BP,0.686,-1.1,0.9495,0.843,NS,10
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION,Cellular Response To Calcium Ion,GO:BP,-0.921,-0.864,0.8458,0.9555,NS,17
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Negative Regulation Of Lipid Metabolic Pro...,GO:BP,0.738,-1.047,0.9327,0.858,NS,11
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE,Positive Regulation Of Cell Cycle,GO:BP,-0.937,-0.847,0.8458,0.9665,NS,35
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS,Cellular Response To Nutrient Levels,GO:BP,-0.997,0.786,0.7881,0.9864,NS,40
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Antigen Receptor Mediated Signaling Pathway,GO:BP,-0.943,0.84,0.831,0.9601,NS,22
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Cellular Response To Chemical Stress,GO:BP,0.867,-0.916,0.912,0.95,NS,70
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY,Negative Regulation Of Autophagy,GO:BP,-1.005,0.777,0.7881,0.9789,NS,18
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,Regulation Of Body Fluid Levels,GO:BP,-0.922,0.853,0.8635,0.9665,NS,51
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,RNA Templated DNA Biosynthetic Process,GO:BP,0.744,1.027,0.9403,0.8732,NS,16
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Positive Regulation Of Protein Localizatio...,GO:BP,0.851,0.919,0.8905,0.926,NS,12
GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION,Positive Regulation Of T Cell Proliferation,GO:BP,0.618,-1.151,0.975,0.8265,NS,12
GOBP_NEUTROPHIL_CHEMOTAXIS,Neutrophil Chemotaxis,GO:BP,-0.712,1.056,0.9494,0.8559,NS,12
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,Regulation Of Neurotransmitter Transport,GO:BP,0.591,-1.177,0.9781,0.7998,NS,12
GOBP_PLASMA_MEMBRANE_ORGANIZATION,Plasma Membrane Organization,GO:BP,0.82,0.948,0.9248,0.9237,NS,41
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,Response To Temperature Stimulus,GO:BP,-1.043,0.724,0.7545,0.9961,NS,42
GOBP_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORT,Monosaccharide Transmembrane Transport,GO:BP,-0.886,0.881,0.8713,0.9484,NS,16
GOBP_PROTEIN_DEPHOSPHORYLATION,Protein Dephosphorylation,GO:BP,-1.258,0.507,0.5789,0.9994,NS,14
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Protein Catabolic P...,GO:BP,-0.891,0.874,0.8902,0.9601,NS,47
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,Regulation Of Organelle Assembly,GO:BP,-0.872,0.893,0.8974,0.9523,NS,36
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,-1.2,-0.564,0.6256,0.9993,NS,25
HALLMARK_HYPOXIA,Hypoxia,Hallmark,-1.028,0.735,0.7754,0.9961,NS,49
GOBP_LEUKOCYTE_HOMEOSTASIS,Leukocyte Homeostasis,GO:BP,-0.752,-1.01,0.9302,0.8851,NS,11
GOBP_NEURON_PROJECTION_ORGANIZATION,Neuron Projection Organization,GO:BP,-0.832,0.927,0.8974,0.9245,NS,10
GOBP_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS,Nucleoside Phosphate Catabolic Process,GO:BP,-0.846,-0.913,0.9157,0.9504,NS,54
GOBP_TRANSLATIONAL_INITIATION,Translational Initiation,GO:BP,0.974,-0.784,0.814,0.9954,NS,51
GOBP_CELL_CHEMOTAXIS,Cell Chemotaxis,GO:BP,-0.698,1.059,0.9636,0.8437,NS,30
GOBP_MALE_SEX_DIFFERENTIATION,Male Sex Differentiation,GO:BP,0.835,-0.92,0.9002,0.926,NS,14
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS,Cellular Response To Oxygen Levels,GO:BP,-0.832,-0.923,0.912,0.926,NS,30
GOBP_CELL_MATURATION,Cell Maturation,GO:BP,-0.963,0.791,0.8121,0.9698,NS,10
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,Striated Muscle Cell Differentiation,GO:BP,-1.035,0.716,0.7589,0.9993,NS,77
GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,Purine Containing Compound Catabolic Process,GO:BP,-0.872,-0.879,0.9064,0.9601,NS,53
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,Microtubule Organizing Center Organization,GO:BP,-0.67,1.08,0.9636,0.8431,NS,16
GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,Regulation Of Lipid Biosynthetic Process,GO:BP,-1.145,0.603,0.6597,0.9993,NS,30
GOBP_DE_NOVO_PROTEIN_FOLDING,De Novo Protein Folding,GO:BP,-0.77,0.976,0.9299,0.9176,NS,16
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,Positive Regulation Of Mitotic Cell Cycle,GO:BP,-1.102,0.642,0.7206,0.9993,NS,17
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,Unsaturated Fatty Acid Metabolic Process,GO:BP,1.086,-0.658,0.7213,0.9993,NS,25
GOBP_RESPONSE_TO_CARBOHYDRATE,Response To Carbohydrate,GO:BP,-0.996,-0.748,0.796,0.9961,NS,35
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,Vesicle Budding From Membrane,GO:BP,-0.776,0.967,0.9385,0.9206,NS,25
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,Positive Regulation Of Cell Cell Adhesion,GO:BP,-1.091,-0.651,0.7206,0.9993,NS,29
GOBP_LIMBIC_SYSTEM_DEVELOPMENT,Limbic System Development,GO:BP,-0.943,-0.797,0.8212,0.9665,NS,11
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,Negative Regulation Of Cell Adhesion,GO:BP,-0.898,-0.842,0.8699,0.9656,NS,25
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Negative Regulation Of Transmembrane Trans...,GO:BP,-0.902,-0.838,0.8699,0.9665,NS,26
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,Central Nervous System Neuron Differentiation,GO:BP,-0.867,0.873,0.8863,0.9481,NS,12
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,Regulation Of Wnt Signaling Pathway,GO:BP,0.821,0.919,0.9153,0.926,NS,26
GOBP_GLYCOSYL_COMPOUND_METABOLIC_PROCESS,Glycosyl Compound Metabolic Process,GO:BP,0.739,-1.001,0.944,0.8929,NS,16
GOBP_REGULATION_OF_INSULIN_SECRETION,Regulation Of Insulin Secretion,GO:BP,-1.073,0.665,0.7439,0.9993,NS,26
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Regulation Of Leukocyte Proliferation,GO:BP,-0.822,-0.916,0.912,0.926,NS,19
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION,Regulation Of Double Strand Break Repair V...,GO:BP,-0.813,0.923,0.9111,0.926,NS,10
GOBP_SODIUM_ION_TRANSPORT,Sodium Ion Transport,GO:BP,-0.651,-1.084,0.9741,0.843,NS,21
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS,Intracellular Glucose Homeostasis,GO:BP,-0.846,0.889,0.9011,0.9478,NS,21
GOBP_REGULATION_OF_WOUND_HEALING,Regulation Of Wound Healing,GO:BP,-1.076,0.657,0.7439,0.9993,NS,18
GOBP_METHYLATION,Methylation,GO:BP,1.054,0.678,0.7586,0.9993,NS,24
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION,Protein DNA Complex Organization,GO:BP,0.717,-1.015,0.9487,0.8851,NS,14
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Ribosomal Small Subunit Biogenesis,GO:BP,0.992,0.738,0.7929,0.9961,NS,25
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION,Establishment Of RNA Localization,GO:BP,0.579,1.151,0.9882,0.8145,NS,20
GOBP_GLIAL_CELL_DIFFERENTIATION,Glial Cell Differentiation,GO:BP,-1.006,0.723,0.7881,0.9961,NS,32
GOBP_POSITIVE_REGULATION_OF_ATP_DEPENDENT_ACTIVITY,Positive Regulation Of ATP Dependent Activity,GO:BP,-0.867,-0.862,0.8834,0.9524,NS,10
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,Regulation Of Adaptive Immune Response,GO:BP,-1.09,0.638,0.7213,0.9993,NS,20
GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,Response To Mechanical Stimulus,GO:BP,-0.711,1.017,0.952,0.8775,NS,21
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,Regulation Of Canonical Wnt Signaling Pathway,GO:BP,0.818,0.908,0.912,0.926,NS,20
GOBP_REGULATION_OF_AEROBIC_RESPIRATION,Regulation Of Aerobic Respiration,GO:BP,-1.084,-0.641,0.7365,0.9993,NS,11
GOBP_MYELOID_CELL_HOMEOSTASIS,Myeloid Cell Homeostasis,GO:BP,-0.868,0.856,0.8945,0.9601,NS,28
GOBP_SEX_DIFFERENTIATION,Sex Differentiation,GO:BP,0.976,-0.747,0.8051,0.9883,NS,20
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Intrinsic Apoptotic Signaling Pathway In R...,GO:BP,0.776,-0.946,0.9157,0.9237,NS,10
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,Regulation Of Cellular Response To Transfo...,GO:BP,0.769,-0.951,0.9299,0.9237,NS,16
GOBP_B_CELL_ACTIVATION,B Cell Activation,GO:BP,0.794,-0.925,0.912,0.926,NS,12
GOBP_CELLULAR_RESPONSE_TO_GLUCOCORTICOID_STIMULUS,Cellular Response To Glucocorticoid Stimulus,GO:BP,0.94,0.779,0.8212,0.9733,NS,10
GOBP_TERPENOID_METABOLIC_PROCESS,Terpenoid Metabolic Process,GO:BP,-0.623,-1.094,0.9767,0.843,NS,16
GOBP_REGULATION_OF_COAGULATION,Regulation Of Coagulation,GO:BP,-1.202,0.514,0.628,0.9993,NS,12
GOBP_CARBOHYDRATE_HOMEOSTASIS,Carbohydrate Homeostasis,GO:BP,-0.831,-0.881,0.9185,0.9581,NS,40
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Negative Regulation Of Immune Effector Pro...,GO:BP,-1.024,0.685,0.7794,0.9961,NS,15
GOBP_SYMBIONT_ENTRY_INTO_HOST,Symbiont Entry Into Host,GO:BP,-0.869,0.839,0.8891,0.9601,NS,20
GOBP_MEIOTIC_CELL_CYCLE,Meiotic Cell Cycle,GO:BP,-0.549,1.155,0.9889,0.8265,NS,12
GOBP_SYNAPTIC_VESICLE_RECYCLING,Synaptic Vesicle Recycling,GO:BP,-0.857,0.847,0.8974,0.9601,NS,22
GOBP_RETINOL_METABOLIC_PROCESS,Retinol Metabolic Process,GO:BP,0.741,-0.963,0.9302,0.9206,NS,10
GOBP_PRESYNAPTIC_ENDOCYTOSIS,Presynaptic Endocytosis,GO:BP,-0.812,0.89,0.912,0.9468,NS,21
GOBP_NEURON_APOPTOTIC_PROCESS,Neuron Apoptotic Process,GO:BP,-0.903,0.797,0.8699,0.9813,NS,31
GOBP_STEROID_BIOSYNTHETIC_PROCESS,Steroid Biosynthetic Process,GO:BP,-1.033,-0.666,0.7743,0.9993,NS,27
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,Blood Vessel Endothelial Cell Migration,GO:BP,0.971,0.728,0.8059,0.9864,NS,14
GOBP_REGENERATION,Regeneration,GO:BP,-0.968,0.731,0.814,0.9961,NS,29
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT,Reproductive System Development,GO:BP,1.071,-0.627,0.7335,0.9993,NS,27
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS,Polysaccharide Catabolic Process,GO:BP,0.763,0.928,0.9248,0.9244,NS,10
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,Positive Regulation Of Cell Activation,GO:BP,-0.947,-0.744,0.8276,0.9961,NS,32
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Regulation Of Epithelial Cell Proliferation,GO:BP,-0.991,0.699,0.7964,0.997,NS,26
GOBP_CARBOHYDRATE_TRANSPORT,Carbohydrate Transport,GO:BP,-0.851,0.839,0.8974,0.9601,NS,17
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,Post Golgi Vesicle Mediated Transport,GO:BP,-1.072,0.617,0.7425,0.9993,NS,19
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN,Cellular Response To Unfolded Protein,GO:BP,-0.845,-0.844,0.8974,0.9601,NS,19
GOBP_TISSUE_HOMEOSTASIS,Tissue Homeostasis,GO:BP,-0.639,1.048,0.9781,0.8559,NS,21
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,Cardiac Muscle Tissue Development,GO:BP,-0.957,0.729,0.8212,0.9961,NS,39
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Negative Regulation Of Response To Biotic ...,GO:BP,-0.795,-0.888,0.9157,0.9481,NS,18
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,Positive Regulation Of Cell Cycle Process,GO:BP,-0.849,-0.834,0.9011,0.9665,NS,25
GOBP_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO:BP,0.84,-0.842,0.912,0.9781,NS,52
GOBP_REGULATION_OF_T_CELL_ACTIVATION,Regulation Of T Cell Activation,GO:BP,-1.025,0.656,0.7794,0.9993,NS,32
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT,Respiratory System Development,GO:BP,-0.866,-0.815,0.8907,0.9698,NS,19
