"engine","module","trait","model","beta_std","p","p_bh"
"wgcna","turquoise","d_1rm_ext","baseline",0.0259807478364408,0.92974836159694,0.998961668261752
"wgcna","turquoise","d_1rm_ext","tracks",-0.0163458362164907,0.897372069285597,0.998961668261752
"wgcna","turquoise","d_1rm_legpress","acute",0.409623486664384,0.129446297807328,0.611633757139624
"wgcna","turquoise","d_1rm_legpress","baseline",-0.0395510266922945,0.888703575247773,0.998961668261752
"wgcna","turquoise","d_1rm_legpress","tracks",0.00911803238213825,0.938267332891976,0.998961668261752
"wgcna","turquoise","d_fcsa_I","acute",-0.457005864046339,0.0867846606063109,0.585796459092599
"wgcna","turquoise","d_fcsa_I","baseline",0.367508359455367,0.177784924974169,0.633987751322981
"wgcna","turquoise","d_fcsa_I","tracks",0.00305366763919167,0.979292873580387,0.998961668261752
"wgcna","turquoise","d_fcsa_II","acute",-0.436601933795101,0.103708506620257,0.592213702791083
"wgcna","turquoise","d_fcsa_II","baseline",0.490262914302928,0.0635502773210018,0.585796459092599
"wgcna","turquoise","d_fcsa_II","tracks",0.0045565102581033,0.969109549530515,0.998961668261752
"wgcna","turquoise","d_mcsa","acute",0.0354039320111199,0.900316760241324,0.998961668261752
"wgcna","turquoise","d_mcsa","baseline",-0.397438526717105,0.14238447399909,0.61831662849167
"wgcna","turquoise","d_mcsa","tracks",-0.00104851111247632,0.992888724402314,0.998961668261752
"wgcna","turquoise","d_myovision_fcsa_I","acute",0.507372697670772,0.053537354589627,0.585796459092599
"wgcna","turquoise","d_myovision_fcsa_I","baseline",-0.15435498653044,0.582826175160936,0.998961668261752
"wgcna","turquoise","d_myovision_fcsa_I","tracks",-0.00758329263537033,0.948630066501064,0.998961668261752
"wgcna","yellow","comp_hypertrophy","acute",-0.656299433681145,0.00787704509976445,0.343706750293274
"wgcna","yellow","comp_hypertrophy","baseline",-0.00117726574651586,0.996677679665985,0.998961668261752
"wgcna","yellow","comp_hypertrophy","tracks",0.00345067135779509,0.981688044825592,0.998961668261752
"wgcna","yellow","d_1rm_ext","acute",0.0314829499352604,0.914915292200137,0.998961668261752
"wgcna","yellow","d_1rm_ext","baseline",0.447986856981904,0.108179868829748,0.592213702791083
"wgcna","yellow","d_1rm_ext","tracks",-0.00611949072832024,0.9694716131442,0.998961668261752
"wgcna","yellow","d_1rm_legpress","acute",-0.05460755462608,0.8467326581304,0.998961668261752
"wgcna","yellow","d_1rm_legpress","baseline",-0.0940928484315425,0.738722086233112,0.998961668261752
"wgcna","yellow","d_1rm_legpress","tracks",0.00658757426967479,0.965069579585967,0.998961668261752
"wgcna","yellow","d_fcsa_I","acute",-0.37855339553058,0.164112562017275,0.620345484425301
"wgcna","yellow","d_fcsa_I","baseline",-0.14997647811132,0.593688774887024,0.998961668261752
"wgcna","yellow","d_fcsa_I","tracks",0.00220620650651373,0.988290015625213,0.998961668261752
"wgcna","yellow","d_fcsa_II","acute",-0.418721748713223,0.120325344860127,0.592213702791083
"wgcna","yellow","d_fcsa_II","baseline",-0.0862254566595383,0.759949237734561,0.998961668261752
"wgcna","yellow","d_fcsa_II","tracks",0.00329197665437021,0.982529719667235,0.998961668261752
"wgcna","yellow","d_mcsa","acute",-0.508312842426633,0.0530229640975751,0.585796459092599
"wgcna","yellow","d_mcsa","baseline",0.11846339789469,0.674127953456646,0.998961668261752
"wgcna","yellow","d_mcsa","tracks",-0.000757525805627597,0.995978798659098,0.998961668261752
"wgcna","yellow","d_myovision_fcsa_I","acute",0.0131799655134625,0.962817030207228,0.998961668261752
"wgcna","yellow","d_myovision_fcsa_I","baseline",-0.0814606295574224,0.772884061459435,0.998961668261752
"wgcna","yellow","d_myovision_fcsa_I","tracks",-0.00547875916102642,0.970939018956466,0.998961668261752
