"group_id","timepoint","group_arm","mean_ME"
"turquoise","T1","HR",-0.015858380437971
"turquoise","T1","LR",-0.075420100784347
"turquoise","T2","HR",-0.0490553875930417
"turquoise","T2","LR",-0.125782691669008
"turquoise","T3","HR",0.0649137680310125
"turquoise","T3","LR",0.201202792453355
"blue","T1","HR",-0.0466861261139308
"blue","T1","LR",-0.0151851861011593
"blue","T2","HR",-0.154378185874711
"blue","T2","LR",0.025374110834244
"blue","T3","HR",0.201064311988641
"blue","T3","LR",-0.0101889247330847
"brown","T1","HR",0.0750084089137443
"brown","T1","LR",0.0396050147439545
"brown","T2","HR",-0.09308712700742
"brown","T2","LR",-0.00214974398574757
"brown","T3","HR",0.0180787180936757
"brown","T3","LR",-0.0374552707582072
"yellow","T1","HR",-0.0697294414809351
"yellow","T1","LR",-0.00350123232025851
"yellow","T2","HR",0.157154724025571
"yellow","T2","LR",-0.022578866013657
"yellow","T3","HR",-0.0874252825446361
"yellow","T3","LR",0.0260800983339156
"green","T1","HR",0.0874646428680615
"green","T1","LR",0.0375131512758006
"green","T2","HR",0.106974341763259
"green","T2","LR",0.0362164319069785
"green","T3","HR",-0.194438984631321
"green","T3","LR",-0.073729583182779
