set_A,set_B,n_A,n_B,overlap,expected,odds_ratio,p_value,p_bh
Training_HR,Training_LR,59,31,4,0.9,4.99,0.013079164845611418,0.019618747268417128
Training_HR,Acute_HR,59,92,12,2.8,5.75,1.1018825059675628e-5,2.8924415781648524e-5
Training_HR,Acute_LR,59,97,5,2.9,1.8,0.16825559765874087,0.19629819726853104
Training_HR,Baseline_HRvLR,59,29,14,0.9,38.39,6.1917605420469846e-15,3.2506742845746667e-14
Training_HR,Training_Interaction,59,58,26,1.8,45.18,7.714816595691897e-27,1.6201114850952984e-25
Training_HR,Acute_Interaction,59,97,5,2.9,1.8,0.16825559765874087,0.19629819726853104
Training_LR,Acute_HR,31,92,2,1.5,1.4,0.43635453369245913,0.4581722603770821
Training_LR,Acute_LR,31,97,9,1.5,8.46,1.075407674105911e-5,2.8924415781648524e-5
Training_LR,Baseline_HRvLR,31,29,3,0.5,7.75,0.010151610145672696,0.01659022718085317
Training_LR,Training_Interaction,31,58,9,0.9,15.47,1.2090480149285888e-7,4.231668052250061e-7
Training_LR,Acute_Interaction,31,97,5,1.5,3.8,0.01688796006422616,0.02364314408991662
Acute_HR,Acute_LR,92,97,15,4.6,4.2,2.7684528610915685e-5,6.459723342546993e-5
Acute_HR,Baseline_HRvLR,92,29,5,1.4,4.37,0.010270140635766247,0.01659022718085317
Acute_HR,Training_Interaction,92,58,10,2.7,4.57,2.746689415591193e-4,5.768047772741505e-4
Acute_HR,Acute_Interaction,92,97,24,4.6,8.57,1.835460627108912e-12,7.70893463385743e-12
Acute_LR,Baseline_HRvLR,97,29,2,1.4,1.42,0.42947847587327054,0.4581722603770821
Acute_LR,Training_Interaction,97,58,7,2.9,2.74,0.023048973821267048,0.030251778140413
Acute_LR,Acute_Interaction,97,97,37,4.8,18.28,4.3673871192750615e-26,4.585756475238815e-25
Baseline_HRvLR,Training_Interaction,29,58,16,0.9,54.26,2.234319240747804e-18,1.5640234685234627e-17
Baseline_HRvLR,Acute_Interaction,29,97,1,1.4,0.68,0.776029339049364,0.776029339049364
Training_Interaction,Acute_Interaction,58,97,9,2.9,3.75,0.0018393024790208862,0.0035113956417671464
