gene,logFC,neg_log10_p,pi_score,adj_pval,direction
PM20D2,1.5984,2.5289,9.1e-5,0.62675,Up
SNCA,-1.8129,1.984,2.53e-4,0.629868,Down
HBG2,-2.1226,1.688,2.61e-4,0.629868,Down
AKR1C3,1.4457,2.4554,2.82e-4,0.62675,Up
PPP2R5D,1.6946,2.0594,3.24e-4,0.629868,Up
ANK1,-1.4865,2.2232,4.96e-4,0.62675,Down
TPPP3,1.8943,1.7301,5.28e-4,0.629868,Up
OXCT1,1.8508,1.7577,5.58e-4,0.629868,Up
RWDD1,1.1242,2.8029,7.06e-4,0.62675,Up
S100A13,1.4099,2.1735,8.62e-4,0.62675,Up
GLRX5,-0.8106,3.6037,0.001199,0.465483,Down
RTN3,1.0759,2.5238,0.001926,0.62675,Up
TGM2,-0.935,2.6696,0.003192,0.62675,Down
FTH1,1.1291,2.2007,0.003275,0.62675,Up
MAP2K2,0.817,2.8973,0.004296,0.62675,Up
S100A1,1.2791,1.8211,0.004684,0.629868,Up
BPGM,-1.1371,1.946,0.006127,0.629868,Down
AMPD1,-0.9612,2.1843,0.007953,0.62675,Down
UCHL1,1.1194,1.8021,0.009611,0.629868,Up
GMPPB,-0.9928,2.0221,0.009829,0.629868,Down
BDH2,-0.807,2.4787,0.009995,0.62675,Down
RPS20,0.8334,2.3901,0.010186,0.62675,Up
EPB41,-1.2866,1.5338,0.010631,0.657909,Down
LMOD3,-0.9213,2.056,0.012757,0.629868,Down
BPNT1,-0.7937,2.2742,0.015666,0.62675,Down
PNP,-1.1767,1.5189,0.016315,0.657909,Down
SLC2A1,-1.2432,1.4147,0.017432,0.685059,Down
POLDIP2,-1.1841,1.4793,0.017716,0.664144,Down
PRKRA,1.093,1.5913,0.018229,0.657909,Up
GPC1,1.4682,1.1594,0.019847,0.688847,Up
RPL13A,1.0434,1.6071,0.021044,0.657909,Up
GYPC,-1.1699,1.4206,0.021781,0.685059,Down
TNPO3,1.1078,1.4768,0.02312,0.664144,Up
PIP4K2B,0.846,1.9196,0.023776,0.629868,Up
GLUL,-0.6733,2.2937,0.028553,0.62675,Down
SPTB,-0.9883,1.5463,0.029634,0.657909,Down
AKR1C1,0.9461,1.5887,0.031403,0.657909,Up
MYH8,-1.2487,1.1956,0.032148,0.688847,Down
RANBP1,-0.8505,1.7475,0.032642,0.629868,Down
PPM1B,-0.8307,1.7876,0.032744,0.629868,Down
RPA3,-0.8118,1.7648,0.036927,0.629868,Down
ACSS2,-0.9068,1.5581,0.038641,0.657909,Down
HEBP1,-1.0683,1.2995,0.040903,0.685059,Down
TOLLIP,0.6208,2.1964,0.043295,0.62675,Up
RPL27,0.8442,1.5978,0.044785,0.657909,Up
CCS,-0.9534,1.3921,0.047076,0.685059,Down
CAMK2D,0.5436,2.4358,0.047421,0.62675,Up
NLN,1.7323,0.7514,0.049918,0.79802,Up
PEA15,1.347,0.9613,0.050716,0.766285,NS
PTPN1,1.1945,1.084,0.050723,0.719764,NS
FTL,1.1257,1.1413,0.051906,0.688847,NS
RO60,1.348,0.941,0.053895,0.769889,NS
STOM,-0.9907,1.2706,0.055115,0.688847,NS
VARS1,0.6712,1.857,0.056696,0.629868,NS
CHCHD7,-0.6817,1.8266,0.056876,0.629868,NS
SYNE2,-1.308,0.9484,0.057475,0.769889,NS
PFKFB1,-0.7192,1.6822,0.061696,0.629868,NS
CA3,0.6724,1.7855,0.063005,0.629868,NS
FLOT2,-0.7381,1.6233,0.063362,0.657909,NS
MICOS13,-0.7644,1.5571,0.064533,0.657909,NS
BDH1,-0.7422,1.5994,0.065001,0.657909,NS
PDK4,-1.0302,1.1346,0.067777,0.688847,NS
LPCAT3,0.8268,1.4115,0.068063,0.685059,NS
NDRG2,0.5178,2.2467,0.068659,0.62675,NS
MFAP4,0.9519,1.2215,0.068748,0.688847,NS
COQ3,-0.66,1.7569,0.069266,0.629868,NS
CHORDC1,1.1584,0.9914,0.071049,0.749736,NS
ILF3,0.7277,1.5765,0.071237,0.657909,NS
ACSF2,-0.6647,1.7222,0.071648,0.629868,NS
TPD52L1,0.8326,1.3543,0.074528,0.685059,NS
ARL1,1.35,0.8332,0.075017,0.769889,NS
TPP2,-0.5897,1.9061,0.075143,0.629868,NS
NNMT,1.5681,0.7153,0.075575,0.803156,NS
PPP3CB,-0.545,2.0569,0.07569,0.629868,NS
SLC44A2,-0.8065,1.3781,0.077369,0.685059,NS
DYNC1H1,0.4649,2.3763,0.078571,0.62675,NS
TMX1,0.626,1.7272,0.082952,0.629868,NS
MAPRE3,0.591,1.8154,0.08454,0.629868,NS
DDI2,-0.9781,1.0852,0.08682,0.719764,NS
PPIF,-0.4837,2.1742,0.088782,0.62675,NS
RPL12,0.7471,1.4031,0.0895,0.685059,NS
PDLIM3,0.5873,1.7679,0.091568,0.629868,NS
HLA-C,-1.2323,0.833,0.09408,0.769889,NS
HMGCL,-0.5758,1.7809,0.094286,0.629868,NS
LETM1,-0.5976,1.6908,0.097626,0.629868,NS
AQP1,-0.7271,1.3865,0.098156,0.685059,NS
DDX1,0.5647,1.7627,0.101045,0.629868,NS
SRSF2,0.6959,1.4148,0.103604,0.685059,NS
FAM98B,0.8558,1.1452,0.104692,0.688847,NS
RPL7A,0.7302,1.3396,0.105151,0.685059,NS
LXN,-0.9983,0.9762,0.10604,0.759388,NS
CAT,-0.7898,1.2288,0.107012,0.688847,NS
PBXIP1,0.5279,1.826,0.10868,0.629868,NS
GPX1,-0.5119,1.875,0.109712,0.629868,NS
GARNL3,-0.817,1.1705,0.110578,0.688847,NS
MPDU1,0.7824,1.2099,0.113089,0.688847,NS
EEF1A1,0.5612,1.6518,0.118312,0.63908,NS
RPL17,0.7793,1.1885,0.118519,0.688847,NS
CRIP2,0.9228,1.0002,0.119396,0.749736,NS
FLOT1,-0.7572,1.2148,0.120264,0.688847,NS
EIF4A2,0.4487,2.0451,0.120868,0.629868,NS
SNTA1,-0.5245,1.7432,0.121818,0.629868,NS
TCAP,-0.7455,1.2252,0.122083,0.688847,NS
EIF3G,0.6484,1.4024,0.123203,0.685059,NS
SUCLG2,-0.5908,1.5297,0.124808,0.657909,NS
MARCKS,1.0344,0.8733,0.124924,0.769889,NS
SEPTIN6,-1.1274,0.7984,0.125866,0.788725,NS
RPL14,0.6884,1.3062,0.126103,0.685059,NS
CAPN2,0.5744,1.5631,0.12652,0.657909,NS
LAMTOR1,0.6713,1.3253,0.128935,0.685059,NS
TARDBP,-0.8947,0.9906,0.129945,0.749736,NS
HCCS,-0.6242,1.4161,0.130636,0.685059,NS
SEPTIN9,0.6564,1.3429,0.131372,0.685059,NS
STK38L,0.63,1.381,0.134904,0.685059,NS
TMEM43,0.6468,1.3312,0.137687,0.685059,NS
REEP5,0.58,1.4789,0.138742,0.664144,NS
ARF5,0.6982,1.2245,0.13967,0.688847,NS
AK1,0.4007,2.133,0.139764,0.629868,NS
ALDH3A2,0.5995,1.3724,0.1504,0.685059,NS
TMCO1,0.8153,1.0074,0.150882,0.749736,NS
ACY1,-0.4846,1.6924,0.151295,0.629868,NS
USP15,-0.5516,1.4716,0.154244,0.664144,NS
IMPA2,-0.5987,1.3509,0.155327,0.685059,NS
MAOA,-0.5887,1.3605,0.158145,0.685059,NS
PRDX2,-0.5223,1.5311,0.158581,0.657909,NS
MYBPH,0.8316,0.9609,0.158816,0.766285,NS
TMEM11,-0.5408,1.4763,0.1591,0.664144,NS
BSG,-0.3975,2.0034,0.159859,0.629868,NS
COX6B1,-0.5962,1.3311,0.160823,0.685059,NS
CIRBP,0.5413,1.4608,0.161882,0.673815,NS
PHKG1,-0.6301,1.2527,0.162458,0.688847,NS
DRG1,-1.0585,0.7451,0.16268,0.79802,NS
MYO18A,0.6587,1.1891,0.164729,0.688847,NS
UBE2O,0.7604,1.0287,0.165102,0.749736,NS
LDHD,-0.5828,1.3391,0.165805,0.685059,NS
PADI2,0.521,1.4932,0.166748,0.664144,NS
RRAS2,0.7031,1.106,0.166893,0.714329,NS
UCHL5,-0.6127,1.2643,0.168008,0.688847,NS
PRKACA,0.4658,1.6578,0.168955,0.63908,NS
NDUFAF4,-0.7408,1.0409,0.169424,0.749736,NS
SLC25A6,-0.4643,1.6465,0.17198,0.63908,NS
SPTAN1,0.6478,1.1772,0.172761,0.688847,NS
CYB5R1,0.4457,1.7053,0.173769,0.629868,NS
TUBA4A,0.5607,1.3537,0.174176,0.685059,NS
ANXA5,0.4912,1.5333,0.176516,0.657909,NS
TSPO,-0.7268,1.0333,0.177413,0.749736,NS
LMNB2,1.0105,0.741,0.17832,0.79802,NS
ADSS2,-0.6915,1.0805,0.179022,0.722275,NS
ALAD,-0.6528,1.1365,0.1812,0.688847,NS
CLIC4,0.6313,1.1747,0.181292,0.688847,NS
SCP2,-0.674,1.0935,0.183207,0.719764,NS
RAD23B,0.4318,1.7015,0.184202,0.629868,NS
RAP2B,-0.97,0.747,0.188557,0.79802,NS
LSM4,0.8202,0.8833,0.188613,0.769889,NS
CPT2,-0.4919,1.4722,0.188697,0.664144,NS
SCRN3,0.6041,1.1901,0.191005,0.688847,NS
VPS4A,-0.5052,1.4232,0.191008,0.685059,NS
COX19,-0.5745,1.2491,0.191602,0.688847,NS
ACADSB,-0.5117,1.3987,0.192455,0.685059,NS
PDLIM7,-0.8427,0.846,0.193678,0.769889,NS
RUVBL1,0.4968,1.4334,0.194023,0.685059,NS
ATG3,-0.8212,0.86240000000000006,0.195784,0.769889,NS
DYNC1I2,0.4506,1.5664,0.19684,0.657909,NS
HOOK3,-1.4978,0.4712,0.196889,0.872835,NS
SYNM,-0.6927,1.0079,0.200365,0.749736,NS
MCCC2,-0.5576,1.2456,0.202029,0.688847,NS
COBL,0.5683,1.2217,0.202174,0.688847,NS
SUB1,0.4507,1.529,0.204552,0.657909,NS
FITM1,0.7573,0.9075,0.205443,0.769889,NS
CORO1A,1.1114,0.6157,0.206867,0.837314,NS
SPPL2A,0.6694,1.0195,0.207754,0.749736,NS
PRKCSH,0.439,1.5541,0.207838,0.657909,NS
ANXA3,-0.6003,1.128,0.210281,0.695925,NS
AKT1,0.6373,1.0626,0.210291,0.738865,NS
MPP1,-0.7169,0.9422,0.211131,0.769889,NS
BLVRA,-0.3993,1.6916,0.211162,0.629868,NS
UBE2R2,-0.6604,1.0197,0.212117,0.749736,NS
DNAJA3,-0.7156,0.9401,0.212453,0.769889,NS
BIN1,0.3843,1.7468,0.21312999999999999,0.629868,NS
ACAD8,-0.5276,1.2717,0.213323,0.688847,NS
RPL7,0.5645,1.1833,0.214832,0.688847,NS
PPM1A,0.4972,1.3351,0.216849,0.685059,NS
TIMM10,-0.6,1.0579,0.231901,0.743432,NS
DLST,-0.3381,1.8726,0.232704,0.629868,NS
PGAM2,-0.3718,1.7007,0.233215,0.629868,NS
NDUFB11,-0.5139,1.2062,0.239914,0.688847,NS
NAP1L1,0.4763,1.2995,0.240431,0.685059,NS
AUH,-0.4485,1.3764,0.241355,0.685059,NS
TXN2,-0.5488,1.1227,0.242039,0.70104,NS
EIF2S3,0.4026,1.5216,0.244017,0.657909,NS
COX7A1,-0.5298,1.1556,0.244202,0.688847,NS
EPB41L2,0.8524,0.718,0.244336,0.803156,NS
CAVIN4,0.4953,1.2347,0.244567,0.688847,NS
GPHN,-0.6889,0.8819,0.246882,0.769889,NS
CHCHD10,-0.6647,0.9069,0.249581,0.769889,NS
EPHX1,0.5081,1.1812,0.251108,0.688847,NS
MRPL13,-0.6717,0.8918,0.251714,0.769889,NS
TUBB,0.458,1.2992,0.254068,0.685059,NS
PSME3,0.504,1.18,0.254245,0.688847,NS
ACSL1,-0.3554,1.673,0.254323,0.629868,NS
RPS5,0.7529,0.7898,0.254328,0.788725,NS
GCLC,-0.682,0.87,0.25505100000000003,0.769889,NS
DCTN4,0.6861,0.8648,0.25505100000000003,0.769889,NS
PPP1R2,-0.5628,1.0478,0.257184,0.744062,NS
NDUFA11,-0.5918,0.9805,0.26286,0.754929,NS
SEC24C,0.5287,1.0966,0.263168,0.719321,NS
ESYT1,0.5752,1.004,0.264533,0.749736,NS
CLIP2,0.4652,1.2386,0.265345,0.688847,NS
DHRS7,0.43120000000000003,1.3152,0.270907,0.685059,NS
MRPS18B,-0.7178,0.7886,0.271601,0.788725,NS
CAB39L,-1.1876,0.4766,0.271663,0.872835,NS
HLA-DRA,-0.7224,0.7831,0.271832,0.788725,NS
TUBA8,-0.438,1.2859,0.273415,0.686303,NS
MAP2K6,-0.4292,1.3033,0.275854,0.685059,NS
ECHDC1,0.6062,0.916,0.278461,0.769889,NS
RPL6,0.5685,0.9688,0.281337,0.766285,NS
KCTD12,0.6014,0.9109,0.283286,0.769889,NS
SETD7,0.4326,1.266,0.283379,0.688847,NS
RBBP7,0.7748,0.7061,0.283758,0.809319,NS
UQCRB,-0.369,1.4766,0.285144,0.664144,NS
SRI,-0.6203,0.8756,0.286285,0.769889,NS
LAMP1,0.7121,0.7615,0.286882,0.79802,NS
UBAP2L,0.7912,0.6837,0.287801,0.810841,NS
CAV2,0.8446,0.64,0.288085,0.831376,NS
MYH11,-0.7493,0.719,0.289269,0.803156,NS
SGTA,-0.4334,1.235,0.291556,0.688847,NS
NDUFAF3,-0.455,1.176,0.291678,0.688847,NS
MYH14,0.3895,1.3712,0.292398,0.685059,NS
CSRP1,-0.7672,0.6946,0.293151,0.809319,NS
PALMD,0.5239,1.0059,0.297155,0.749736,NS
EEF1D,0.3141,1.6737,0.298111,0.629868,NS
TAGLN,-0.8912,0.5887,0.298797,0.841005,NS
FITM2,0.564,0.9256,0.3006,0.769889,NS
MRPL9,-0.9151,0.567,0.302765,0.856437,NS
LAP3,0.4704,1.0982,0.304349,0.719321,NS
SMTN,-0.4628,1.1163,0.304365,0.70789,NS
ARHGAP1,0.5949,0.8625,0.306839,0.769889,NS
ARHGAP19,-0.6967,0.7293,0.310378,0.803156,NS
ATPAF2,-0.5104,0.9916,0.311789,0.749736,NS
TMX3,0.4811,1.0501,0.312429,0.743432,NS
UNC45B,0.4308,1.1663,0.314421,0.688847,NS
PARVA,0.5586,0.8955,0.31608,0.769889,NS
LANCL1,0.4383,1.1363,0.317682,0.688847,NS
TUBA1B,0.4122,1.2056,0.318469,0.688847,NS
EPM2A,-0.5507,0.8977,0.320362,0.769889,NS
SSB,0.7477,0.6609,0.320551,0.814939,NS
HSPB2,0.3704,1.3303,0.321514,0.685059,NS
ISYNA1,0.6678,0.7337,0.32364,0.803156,NS
CPT1A,-0.5554,0.8652,0.33073,0.769889,NS
PAIP1,0.4953,0.9617,0.333909,0.766285,NS
MT-ND1,-0.5425,0.8751,0.335182,0.769889,NS
MDP1,0.4889,0.9654,0.337266,0.766285,NS
ALDH1L1,-0.3864,1.214,0.339543,0.688847,NS
ACOT13,-0.406,1.1466,0.342386,0.688847,NS
PVALB,0.8828,0.5259,0.343377,0.863373,NS
FARSB,0.5464,0.849,0.343602,0.769889,NS
TLN2,0.5144,0.9002,0.344291,0.769889,NS
RPLP2,0.4503,1.0267,0.344882,0.749736,NS
ENO3,-0.3568,1.2887,0.346842,0.686303,NS
EZR,0.7323,0.6275,0.347119,0.836401,NS
NARS1,0.3636,1.2586,0.348652,0.688847,NS
PPA1,-0.345,1.3258,0.348799,0.685059,NS
PSMF1,-0.4824,0.9472,0.349248,0.769889,NS
TMOD1,-0.6029,0.7545,0.350863,0.79802,NS
FXN,-0.4487,1.0093,0.352469,0.749736,NS
ENDOG,-0.5343,0.8476,0.352496,0.769889,NS
FARSA,0.5853,0.7645,0.356867,0.79802,NS
STK38,-0.5006,0.8931,0.357173,0.769889,NS
LCP1,-0.7041,0.6346,0.357423,0.831376,NS
UQCC3,1.0431,0.4253,0.360021,0.879341,NS
IDH1,-0.4458,0.9902,0.3619,0.749736,NS
UBAC1,-0.3494,1.2528,0.364924,0.688847,NS
CPNE3,-0.3341,1.3099,0.365078,0.685059,NS
ARL6IP5,0.4071,1.0716,0.366204,0.727378,NS
NPLOC4,0.3658,1.1914,0.366573,0.688847,NS
MBNL1,0.3794,1.1431,0.368393,0.688847,NS
COA6,-0.4255,1.0161,0.369576,0.749736,NS
MAP4,0.3558,1.2142,0.369787,0.688847,NS
MLIP,-0.5795,0.745,0.370077,0.79802,NS
PDLIM1,0.5134,0.8392,0.370807,0.769889,NS
LNPK,0.447,0.9607,0.372017,0.766285,NS
