pathway,padj,NES,size,database,pval,ES,log2err,contrast
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,2.3152403481960208e-4,-2.2068771231770707,59,GO:BP,3.765949646994942e-6,-0.5272527283952496,0.6272567397185284,Acute_HR
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,2.6563655230043296e-4,-2.058403501956676,84,GO:BP,4.508682641591507e-6,-0.46084869153925506,0.610526878385931,Acute_HR
GOBP_AMINO_ACID_CATABOLIC_PROCESS,2.679983794155538e-4,-2.2074741384430654,43,GO:BP,4.738302323471602e-6,-0.5669909436757385,0.610526878385931,Acute_HR
GOBP_VIRAL_GENOME_REPLICATION,2.9235528896039153e-4,2.3128358608564543,21,GO:BP,5.375698382581456e-6,0.7210550198148732,0.610526878385931,Acute_HR
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,3.998815596379092e-4,-1.9164514312580594,122,GO:BP,7.635645056735182e-6,-0.4018474925988371,0.5933254763964051,Acute_HR
GOBP_VIRAL_PROCESS,5.365709795015118e-4,2.0508063963179004,80,GO:BP,1.0625167910921025e-5,0.47055094744395193,0.5933254763964051,Acute_HR
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,9.815778592145601e-4,2.2137515379659183,24,GO:BP,2.0825555711765773e-5,0.666190576755562,0.5756102610711286,Acute_HR
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.0016289203329850042,-2.1262062270589515,47,GO:BP,3.686382648905243e-5,-0.5356362341413787,0.557332238758646,Acute_HR
GOBP_LIPID_CATABOLIC_PROCESS,0.001644342172936761,-1.9590315655884531,64,GO:BP,3.837573670927377e-5,-0.461134006592641,0.557332238758646,Acute_HR
HALLMARK_G2M_CHECKPOINT,0.0018873876120752051,2.175039944603256,24,Hallmark,4.6717515150376363e-5,0.6545409863353584,0.557332238758646,Acute_HR
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.0021892557908832194,-2.087337852310532,47,GO:BP,5.5737771196461026e-5,-0.5258444700065152,0.557332238758646,Acute_HR
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.0023360465607500523,-2.176043541342555,26,GO:BP,6.112710236757562e-5,-0.6299854408738085,0.5384340963099162,Acute_HR
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,0.0028201814268938538,1.9567177160195302,90,GO:BP,7.778435335845849e-5,0.44030694713186025,0.5384340963099162,Acute_HR
HALLMARK_ADIPOGENESIS,0.0028201814268938538,-1.8438128046520101,99,Hallmark,7.583774785347019e-5,-0.4009499523688989,0.5384340963099162,Acute_HR
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,0.003449010498762875,2.100930349144054,15,GO:BP,1.0244585639889729e-4,0.7201540901193427,0.5384340963099162,Acute_HR
GOBP_MITOCHONDRIAL_TRANSPORT,0.003449010498762875,-1.954264769447841,62,GO:BP,1.0059644157183336e-4,-0.4623596538986769,0.5384340963099162,Acute_HR
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,0.0035725287656698454,2.1374515664902978,18,GO:BP,1.1116779751730778e-4,0.6935273451724493,0.5384340963099162,Acute_HR
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.0035725287656698454,2.029786680517024,40,GO:BP,1.0939611410833378e-4,0.5399917351721013,0.5384340963099162,Acute_HR
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.004187810579362112,2.0564537815939286,34,Hallmark,1.3327544276612097e-4,0.567775113756227,0.5188480777437918,Acute_HR
GOBP_FATTY_ACID_METABOLIC_PROCESS,0.004304046879526625,-1.8005874821381056,107,GO:BP,1.4001849820242203e-4,-0.38654866579107217,0.5188480777437918,Acute_HR
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,0.004505998575991179,-1.6228165908878716,192,GO:BP,1.5040753297603616e-4,-0.3195100900914373,0.5188480777437918,Acute_HR
GOBP_LAMELLIPODIUM_ASSEMBLY,0.004543734563488373,2.0813269145198343,15,GO:BP,1.574561482396961e-4,0.7134344510647825,0.5188480777437918,Acute_HR
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,0.0050356775146696755,1.9940952400237282,42,GO:BP,1.7806497576625444e-4,0.5249720976564779,0.5188480777437918,Acute_HR
GOBP_FATTY_ACID_CATABOLIC_PROCESS,0.0052094654908738484,-2.0458811820107257,42,GO:BP,1.9492055043564648e-4,-0.5277740512300844,0.5188480777437918,Acute_HR
