pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,ID,p.adjust,Count,geneID
GOBP_DNA_BIOSYNTHETIC_PROCESS,3.2250636851788956e-6,0.003028334800382983,7.48015873015873,8,18,GO:BP,13.561538461538461,black,DNA Biosynthetic Process,GOBP_DNA_BIOSYNTHETIC_PROCESS,0.003028334800382983,8,CCT3/CCT4/CCT5/CCT8/HSP90AA1/HSP90AB1/VCP/XRCC5
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,1.5914968303518934e-5,0.00747207761850214,7.363281250000001,7,16,GO:BP,13.066666666666666,black,RNA Templated DNA Biosynthetic Process,GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,0.00747207761850214,7,CCT3/CCT4/CCT5/CCT8/HSP90AA1/HSP90AB1/XRCC5
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,5.421985702110168e-5,0.01272811143570362,4.315476190476191,10,39,GO:BP,5.895875591615956,black,Positive Regulation Of Protein Containing ...,GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,0.01272811143570362,10,ARPC2/CLIP1/DCTN1/HSP90AA1/MAPRE1/PPP2CA/PSMC6/SH3GLB1/TPPP3/VCP
GOBP_MICROTUBULE_POLYMERIZATION,8.83130319782473e-5,0.016585187405514845,5.890625,7,20,GO:BP,9.025641025641026,black,Microtubule Polymerization,GOBP_MICROTUBULE_POLYMERIZATION,0.016585187405514845,7,CLIP1/DCTN1/MAP4/MAPRE1/MAPRE3/PPP2CA/TPPP3
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,1.7584248009333347e-4,0.02258142627217893,5.355113636363637,7,22,GO:BP,7.8133333333333335,black,Primary Alcohol Metabolic Process,GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,0.02258142627217893,7,AKR1A1/AKR1C1/AKR1C2/AKR1C3/ALDH1B1/ALDH2/DHRS7
GOBP_PROSTANOID_METABOLIC_PROCESS,1.8908730204266028e-4,0.02258142627217893,6.311383928571429,6,16,GO:BP,9.979245283018868,black,Prostanoid Metabolic Process,GOBP_PROSTANOID_METABOLIC_PROCESS,0.02258142627217893,6,AKR1C1/AKR1C2/AKR1C3/CBR1/COMT/GSTP1
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,2.0396845643787305e-4,0.02258142627217893,4.093870656370656,9,37,GO:BP,5.445561719833565,black,Regulation Of Chromosome Organization,GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.02258142627217893,9,CCT3/CCT4/CCT5/CCT8/DYNC1H1/DYNC1I2/DYNC1LI1/HSP90AA1/XRCC5
GOBP_PROTEIN_FOLDING,2.1775430748510976e-4,0.02258142627217893,2.873475609756097,14,82,GO:BP,3.581932773109244,black,Protein Folding,GOBP_PROTEIN_FOLDING,0.02258142627217893,14,CCT3/CCT4/CCT5/CCT8/HSP90AA1/HSP90AB1/HSP90B1/HSPA4/HSPA8/HSPA9/NUDC/PDIA3/SH3GLB1/UNC45B
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,2.7818779069933776e-4,0.02374712140606165,5.940126050420168,6,17,GO:BP,9.066895368782161,black,Positive Regulation Of Protein Polymerization,GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,0.02374712140606165,6,ARPC2/CLIP1/DCTN1/HSP90AA1/MAPRE1/TPPP3
GOBP_PROTEIN_POLYMERIZATION,3.0645626756772593e-4,0.023980202937174556,3.305963010204082,11,56,GO:BP,4.182178217821782,black,Protein Polymerization,GOBP_PROTEIN_POLYMERIZATION,0.023980202937174556,11,ARPC2/CASQ2/CLIP1/COBL/DCTN1/HSP90AA1/MAP4/MAPRE1/MAPRE3/PPP2CA/TPPP3
