module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,0.22192027155952596,0.5042410668136018,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.8470094984211651,0.9910609222737785,0.9573764215154275
MEgreenyellow,0.765113508429266,0.8540474075211799,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.8470094984211651,0.9910609222737785,0.9573764215154275
MEpurple,0.9871333643648719,0.9263464125130306,NA,0.7833310204544943,0.9860566304540823,0.8887743602304753,0.9370536265125469,0.9910609222737785,0.9573764215154275
MEyellow,0.7829182525939388,0.9263464125130306,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.8470094984211651,0.9910609222737785,0.9573764215154275
MEblack,0.7397024375714365,0.6105399500056482,NA,0.5734549708837448,0.9860566304540823,0.8887743602304753,0.8470094984211651,0.9910609222737785,0.9573764215154275
MEmagenta,0.7829182525939388,0.9263464125130306,NA,0.8859893447504491,0.9860566304540823,0.8887743602304753,0.9370536265125469,0.9910609222737785,0.9573764215154275
MEbrown,0.9047765055011597,0.9263464125130306,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.9370536265125469,0.9910609222737785,0.9573764215154275
MEblue,0.5542461838247822,0.8540474075211799,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.8470094984211651,0.9910609222737785,0.9573764215154275
MEgreen,0.7829182525939388,0.9263464125130306,NA,0.7833310204544943,0.9860566304540823,0.8887743602304753,0.9370536265125469,0.9910609222737785,0.9573764215154275
MEpink,0.9047765055011597,0.9263464125130306,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.9370536265125469,0.9910609222737785,0.9573764215154275
MEred,0.7829182525939388,0.9263464125130306,NA,0.7492773844562912,0.9860566304540823,0.991438341074914,0.9370536265125469,0.9910609222737785,0.9573764215154275
MEgrey,0.7829182525939388,0.9897756875188066,NA,0.6116402427321063,0.9860566304540823,0.8887743602304753,0.8470094984211651,0.9910609222737785,0.9573764215154275
