module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEgreenyellow,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEpurple,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEyellow,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEblack,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEmagenta,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEbrown,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEblue,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEgreen,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEpink,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEred,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEgrey,NA,NA,NA,NA,NA,NA,NA,NA,NA
