module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,0.9003146223162729,0.4729398155410677,NA,0.3229291169152965,0.558136743141219,0.6280869454631073,0.4636231701006016,0.7013449143498705,0.5982038099599543
MEgreenyellow,0.8017832394088984,0.6347240930395223,NA,0.42472573802760216,0.8887383839708791,0.9996730316415275,0.6924112729849081,0.9639790954694281,0.9439011304691144
MEpurple,0.37503162275890106,0.05125833085994493,NA,0.3029002215704237,0.18329926983673756,0.527209059943943,0.0761703490076742,0.5379708203982361,0.2356053925772004
MEyellow,0.4610719237683314,0.7492125341201097,NA,0.978443209182956,0.9624769537718935,0.7249404605068583,0.48241977475017805,0.958683965307459,0.9478403458147293
MEblack,0.01655063230413751,0.2900562920741019,NA,0.19532832544702716,0.45172776216963706,0.624888216668043,0.5819262058694101,0.5761268850597365,0.43810403013423677
MEmagenta,0.1745264155395581,0.6914474222922349,NA,0.3083930019823716,0.8188391731826822,0.8415729355814245,0.6037815416852608,0.9298917146691459,0.8842213460819921
MEbrown,0.7269048640977065,0.7555739086729119,NA,0.8435252469502195,0.6835443324487048,0.28521249544016175,0.7970151117386212,0.2685298021652039,0.5896157075001204
MEblue,0.9738661449142163,0.49387149502324923,NA,0.47869872985750644,0.4855079774571131,0.42358484408143615,0.5139228370113149,0.4471174347954498,0.49773702031573175
MEgreen,0.2675425260467174,0.6139416821138743,NA,0.6193781227389672,0.956368513817726,0.5219794371002272,0.471238181357736,0.6575742589982644,0.947017780998477
MEpink,0.9433516657280618,0.7656218205260401,NA,0.6575432021671195,0.7218001726695417,0.2808580234891174,0.5570517882962838,0.38330877347464554,0.5952676425333243
MEred,0.3991300075637602,0.5325149075038135,NA,0.700342211477234,0.9829852321765226,0.5091819963186421,0.5627262650248522,0.5597640489962802,0.9289981730630131
MEgrey,0.03948258434192389,9.921562738642669e-4,NA,0.028790276517660893,0.1303986959366254,0.2764267014075807,0.2349115430206182,0.2813816871015368,0.132341584772311
