module,X1RM_Leg_Pre,X1RM._Ext_Pre,ACCUM_VL,mCSA_Pre,fCSA_Mixed_Pre,MyoVision_fCSA_mixed_Pre,fCSA_Type_I_Pre,MyoVision_fCSA_Type_I__Pre,fCSA_Type_II_Pre
MEturquoise,-0.7944843294368398,-0.724617677139992,NA,-0.5377974810779629,-0.3916729019630581,-0.11370337227655351,-0.38213592213750597,0.050471371760669646,-0.4022144488906554
MEgreenyellow,-0.4569293996394961,-0.4323647397486327,NA,-0.341478618805232,-0.10417574549770059,-0.13736671732428477,-0.3340364798181319,-0.11879330900984761,0.04156532571718986
MEpurple,-0.0068624211162158335,-0.2549421455146177,NA,-0.18362327461077016,0.01975335105502278,-0.2961723151944187,0.08325559782763224,-0.3319883812606305,-0.027033045203822232
MEyellow,0.27581272855741407,0.3417849899474855,NA,0.36036503820062477,-0.03479361103291083,0.6098655567141105,0.3308057433822775,0.43368863714550926,-0.26739628439717733
MEblack,0.521583326708612,0.6190145055309587,NA,0.7115077935700296,0.18263676145788807,0.22146369433214833,0.42798687613180864,-0.004767580364329188,0.02982081167049624
MEmagenta,-0.35456839941573925,-0.2870330500992857,NA,0.06095651173948087,0.00743673794615494,-0.23762328521673445,0.033596671822554755,-0.32291257970874226,-0.02274041375466011
MEbrown,-0.09150770588733312,0.20721125134329482,NA,0.42951494556434844,-0.03835389259665576,0.2955022509764155,0.22982727420433663,0.25835063003424646,-0.2188284245682027
MEblue,0.6325325038732444,0.4914099903234573,NA,0.4599058186922765,0.4195579270306621,-0.45822660565681433,0.33746328611698384,-0.5551840939198266,0.4709364063053535
MEgreen,-0.2279381078707695,-0.15231988786105932,NA,-0.15272997877314382,0.21747991651167006,-0.17335168954404923,-0.0753078348266078,-0.0670858713911868,0.38160216497296634
MEpink,0.09944582519530108,-0.0808039030780166,NA,-0.35340357267225014,0.19161245994563705,-0.09947571154648231,-0.1603743347387245,-0.04413813621161203,0.4114223673014473
MEred,0.33651217340291006,0.08537528168767317,NA,-0.24302130141782552,0.14724309068769534,-0.004566281567118958,-0.0380836888588521,-0.004984977966713017,0.2654829370364065
MEgrey,0.26613155927156185,-0.005453074757514514,NA,-0.45132563607920845,-0.11848349770079665,-0.12895815344213998,-0.41867403641699974,-0.014565592130122939,0.11077611023394476
