contrast,n_tested,n_untested
Training_HR,1890,15
Training_LR,1892,13
Acute_HR,1896,9
Acute_LR,1888,17
Baseline_HRvLR,1887,18
Trained_HRvLR,1897,8
Acute_HRvLR,1890,15
Training_Interaction,1882,23
Acute_Interaction,1883,22
