uniprot_id,gene,protein,n_detected,n_empty_cells,HR_T1,HR_T2,HR_T3,LR_T1,LR_T2,LR_T3
P31146,CORO1A,COR1A_HUMAN,7,4,0,0,2,0,0,5
Q8NE62,CHDH,CHDH_HUMAN,9,3,0,3,1,0,5,0
P05164,MPO,PERM_HUMAN,11,3,1,0,3,0,0,7
P20962,PTMS,PTMS_HUMAN,8,2,1,0,1,1,5,0
Q9NSK7,C19orf12,CS012_HUMAN,9,2,1,1,0,2,5,0
Q9UIQ6,LNPEP,LCAP_HUMAN,9,2,2,1,0,0,5,1
Q02127,DHODH,PYRD_HUMAN,12,2,0,2,0,2,5,3
Q9BYT8,NLN,NEUL_HUMAN,13,2,0,3,3,5,0,2
P08311,CTSG,CATG_HUMAN,14,2,0,1,5,0,1,7
Q86UX7,FERMT3,URP2_HUMAN,10,1,1,1,2,0,1,5
Q9H488,POFUT1,OFUT1_HUMAN,11,1,2,2,1,1,5,0
Q9NRV9,HEBP1,HEBP1_HUMAN,11,1,1,0,2,1,5,2
Q9H9J2,MRPL44,RM44_HUMAN,12,1,2,3,1,1,5,0
P40261,NNMT,NNMT_HUMAN,13,1,1,1,5,0,3,3
Q5R3I4,TTC38,TTC38_HUMAN,13,1,0,2,1,2,2,6
Q92882,OSTF1,OSTF1_HUMAN,13,1,1,1,3,0,3,5
Q96CT7,CCDC124,CC124_HUMAN,13,1,3,1,5,1,0,3
Q9BVK6,TMED9,TMED9_HUMAN,13,1,1,0,5,3,2,2
O00763,ACACB,ACACB_HUMAN,14,1,0,3,1,2,5,3
P62841,RPS15,RS15_HUMAN,16,1,3,2,5,4,2,0
Q9Y3I1,FBXO7,FBX7_HUMAN,16,1,2,2,3,3,0,6
Q96HY7,DHTKD1,DHTK1_HUMAN,17,1,0,3,1,4,6,3
Q96IV0,NGLY1,NGLY1_HUMAN,17,1,3,5,3,2,4,0
Q9BYD1,MRPL13,RM13_HUMAN,17,1,2,3,2,0,7,3
P62910,RPL32,RL32_HUMAN,18,1,2,3,4,4,5,0
O75122,CLASP2,CLAP2_HUMAN,19,1,4,2,2,5,6,0
Q8TBQ9,TMEM167A,KISHA_HUMAN,19,1,3,4,4,3,5,0
O75352,MPDU1,MPU1_HUMAN,21,1,0,4,3,3,6,5
Q16654,PDK4,PDK4_HUMAN,21,1,0,3,5,4,4,5
Q6P1A2,LPCAT3,MBOA5_HUMAN,21,1,0,4,4,6,4,3
P51570,GALK1,GALK1_HUMAN,22,1,4,5,0,5,6,2
Q7Z4H3,HDDC2,HDDC2_HUMAN,23,1,4,4,5,4,6,0
Q96L96,ALPK3,ALPK3_HUMAN,26,1,3,6,5,6,6,0
