contrast,n_tested,BH_10,BH_10_readmitted,is_null_contrast
Acute_HR,1981,2,0,FALSE
Acute_HRvLR,1983,0,0,TRUE
Acute_Interaction,1966,0,0,TRUE
Acute_LR,1974,53,40,FALSE
Baseline_HRvLR,1974,0,0,TRUE
Trained_HRvLR,1980,0,0,TRUE
Training_HR,1974,0,0,FALSE
Training_Interaction,1964,0,0,TRUE
Training_LR,1976,0,0,FALSE
