gene,logFC,neg_log10_p,pi_score,adj_pval,direction
SYNE2,-2.5365,1.8955,1.6e-5,0.594664,Down
DHCR24,-1.8436,2.4412,3.2e-5,0.543887,Down
MYH6,-1.9267,2.2571,4.5e-5,0.543887,Down
LMAN2,1.3103,3.2859,4.9e-5,0.242023,Up
MYH4,-2.1176,2.0189,5.3e-5,0.543887,Down
PURA,-1.5115,2.708,8.1e-5,0.515417,Down
ACAD10,1.1246,3.5539,1.01e-4,0.242023,Up
MLYCD,-1.1178,3.565,1.04e-4,0.242023,Down
RPL32,-1.7922,1.9307,3.47e-4,0.589361,Down
DCUN1D1,-1.6309,2.1105,3.61e-4,0.543887,Down
TMED5,1.5088,2.2213,4.45e-4,0.543887,Up
ARL1,-1.3393,2.4129,5.87e-4,0.543887,Down
COL6A2,-1.6952,1.8454,7.44e-4,0.620824,Down
CORO6,-1.3771,2.0489,0.001508,0.543887,Down
MRPL13,-1.239,2.2707,0.001537,0.543887,Down
LAMP1,-2.0569,1.356,0.001625,0.711089,Down
MYH3,-1.4767,1.8665,0.001752,0.610602,Down
SYNPO2L,-1.611,1.6877,0.00191,0.710863,Down
NUBP2,-1.3091,2.0485,0.002081,0.543887,Down
RTN4IP1,1.2044,2.2097,0.002181,0.543887,Up
MTX1,1.0055,2.6444,0.002193,0.515417,Up
PEA15,-1.6103,1.5885,0.002767,0.711089,Down
SYNCRIP,-0.7275,3.3775,0.003492,0.242023,Down
DYNLT1,1.2022,2.0433,0.003495,0.543887,Up
RAP2B,-1.71,1.43,0.003587,0.711089,Down
BCKDK,-1.668,1.4504,0.003808,0.711089,Down
FERMT3,-2.1992,1.0726,0.004377,0.711089,Down
TOMM40,1.042,2.2577,0.004442,0.543887,Up
TIMM13,1.0894,2.0749,0.00549,0.543887,Up
SND1,-1.4407,1.4495,0.00816,0.711089,Down
MAP1LC3B2,-0.7441,2.7685,0.008706,0.515417,Down
DRG1,-1.5307,1.3327,0.00912,0.711089,Down
TKFC,0.8779,2.2789,0.009983,0.543887,Up
GPC1,-1.1662,1.6139,0.013117,0.710863,Down
TRMT112,-1.0673,1.628,0.018298,0.710863,Down
CAB39L,-1.718,0.9913,0.019817,0.730305,Down
SYNC,-0.8365,1.9135,0.025085,0.589361,Down
HRC,-0.6383,2.4455,0.027484,0.543887,Down
TOMM7,-1.384,1.0818,0.031829,0.711089,Down
PPM1B,-0.8928,1.6723,0.032129,0.710863,Down
PDPR,0.7809,1.9104,0.032222,0.589361,Up
HNRNPL,-1.2861,1.1296,0.035255,0.711089,Down
ANKRD2,-0.7139,2.0205,0.036109,0.543887,Down
OXSM,0.766,1.8628,0.037416,0.610602,Up
CPT1A,0.8169,1.7427,0.037702,0.710863,Up
TMOD4,-0.9669,1.4684,0.038041,0.711089,Down
CCDC124,1.8628,0.7576,0.038787,0.782245,Up
MYH13,-1.0011,1.3993,0.039739,0.711089,Down
VDAC2,0.5351,2.6091,0.040176,0.515417,Up
HMGCL,0.67490000000000006,2.0532,0.041146,0.543887,Up
TPRKB,1.181,1.1723,0.041262,0.711089,Up
EIF3B,0.6575,1.993,0.048922,0.543887,Up
SEPTIN9,0.9574,1.3676,0.049042,0.711089,Up
ADIRF,1.184,1.1058,0.049059,0.711089,Up
COPA,1.1437,1.1444,0.0491,0.711089,Up
RDH11,0.7631,1.7044,0.050051,0.710863,NS
HBS1L,0.5552,2.3401,0.050199,0.543887,NS
PTPN1,-0.9952,1.2833,0.052839,0.711089,NS
NNMT,2.2769,0.5554,0.054388,0.840264,NS
