gene,pathway_label,pathway_padj,pathway_db,primary_contrast,display_logFC
ANXA3,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,0.833407524390307
AQP1,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,0.758197027093974
CTSG,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,2.12829228948384
DEFA3,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,2.93756866795907
H2BC4,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_HR,1.02964148363781
HMGB2,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_HR,1.23824926369346
LTF,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_HR,5.05135798990005
LYZ,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,3.45709942159943
NAGK,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_HR,0.731484665553044
S100A8,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,5.06777618666716
S100A9,Defense Response To Bacter..,0.0012098791761389273,GO:BP,Acute_LR,5.6524791399254
HNRNPA1,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_LR,0.892403098523744
HNRNPA2B1,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_LR,1.03011819513346
HNRNPA3,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,1.12520905391776
HNRNPC,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_LR,1.23442626390611
HNRNPR,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,0.733151514336107
HNRNPUL2,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,1.58311997010905
ILF3,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,1.44165666054583
LSM2,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_LR,1.05452146127547
NCL,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,0.731744264752344
NPM1,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_LR,0.65414937205917
RBMX,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_LR,1.12683454170281
SRSF2,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,0.727608113136313
SYNCRIP,RNA Splicing Via Transeste..,0.003974438160598802,GO:BP,Acute_HR,0.726925445795917
ADD1,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.5458783657535
ALAD,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.21431503826069
ANK1,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,2.08961937058947
BLVRB,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,0.982386208796129
BPGM,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.64305520148319
CAT,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.59543838018367
EPB41,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.7721247115722
GCLC,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.20437476333516
HEBP1,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.89164921778817
MPP1,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.18565362247946
SLC2A1,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.82311609827642
SNCA,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,2.91198490703652
SPTB,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.80004443723568
TFRC,Heme Metabolism,0.008980775609533436,Hallmark,Acute_LR,1.02306927895419
ANXA1,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_HR,0.987227163576204
ANXA3,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_LR,0.833407524390307
CLU,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_LR,1.95794587733937
CTSG,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_LR,2.12829228948384
FN1,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_LR,1.00830067958988
MYO18A,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_HR,0.974580084006551
S100A13,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_Interaction,1.42932474379141
SNCA,Myeloid Leukocyte Activation,0.009941022303966719,GO:BP,Acute_LR,2.91198490703652
